d1	d2	block_id	forward
11397	14848	1	True
16631	19521	2	True
20503	22752	3	True
78666	81965	4	True
165050	167910	2	True
168301	170892	3	True
172024	175233	5	True
178321	181376	1	True
182994	185666	2	True
186592	188629	3	True
224976	232462	6	True
233286	239264	7	True
239266	243816	8	True
243818	251962	9	True
274052	282982	10	True
304239	307874	4	True
347590	351398	11	True
351400	357288	7	True
357290	361771	8	True
367712	376583	10	True
383327	393608	12	True
398623	401633	1	True
403235	405878	2	True
406768	408774	3	True
410350	413472	5	True
413528	422898	13	True
423182	426216	1	True
428045	430513	2	True
431435	433480	3	True
434854	437702	5	True
437992	447175	13	True
447307	450501	1	True
457750	460964	1	True
462569	465330	2	True
465397	467342	3	True
468975	472036	5	True
472092	481466	13	True
481791	484792	1	True
486649	489092	2	True
490014	492060	3	True
493450	496275	5	True
496583	505736	13	True
505876	509070	1	True
510690	513394	2	True
513461	515448	3	True
517031	520160	5	True
520216	529408	13	True
529729	532724	1	True
534540	537060	2	True
538133	540177	3	True
541286	544119	5	True
544394	553490	13	True
553669	556787	1	True
595042	598160	4	False
606084	611391	14	True
611415	616979	15	True
617024	622254	14	True
622332	627806	15	True
627851	633047	14	True
633125	638607	15	True
638631	643847	14	True
701562	711642	12	True
739709	747192	6	True
755404	759229	11	True
759231	765146	7	True
769089	776762	9	True
