component_id	group	block_id
1	s15-h2	14
1	s05-h1	7
1	s13-h2	4
1	s15-h1	10
1	s13-h1	8
1	s11-h2	3
1	s01-h1	5
1	s18-h1	11
1	s17-h1	18
1	s01-h2	8
1	s08-h1	7
1	s14-h2	17
1	s19-h1	6
1	s02-h2	9
1	s14-h1	13
1	s19-h1	3
1	s18-h2	3
1	s12-h1	9
1	s15-h2	16
1	s09-h1	6
1	s10-h1	2
1	s07-h2	1
1	s04-h2	11
1	s11-h1	9
1	s17-h1	11
1	s10-h2	9
1	s08-h1	9
1	s09-h1	2
1	s02-h1	3
1	s18-h1	6
1	s08-h2	11
1	s17-h1	13
1	s19-h2	3
1	s01-h2	9
1	s16-h2	12
1	s15-h1	13
1	s01-h2	5
1	s17-h1	15
1	s14-h2	5
1	s16-h1	4
1	s01-h1	17
1	s06-h1	2
1	s16-h2	14
1	s06-h2	2
1	s09-h1	3
1	s03-h1	2
1	s10-h1	5
1	s17-h2	13
1	s13-h2	6
1	s04-h2	8
1	s11-h2	5
1	s11-h1	12
1	s14-h1	3
1	s01-h1	16
1	s14-h2	16
1	s08-h1	3
1	s10-h2	12
1	s02-h2	11
1	s15-h2	12
1	s04-h1	7
1	s12-h1	11
1	s13-h1	9
1	s17-h2	3
1	s18-h1	3
1	s18-h1	12
1	s09-h2	5
1	s19-h1	4
2	s16-h2	15
2	s18-h2	1
2	s15-h2	5
2	s12-h1	4
2	s04-h1	9
2	s12-h1	13
2	s07-h2	2
2	s13-h1	11
2	s03-h2	3
2	s16-h1	1
2	s16-h1	7
2	s16-h2	8
2	s04-h1	2
2	s13-h1	4
2	s07-h2	10
2	s15-h1	9
2	s11-h1	3
2	s13-h2	3
2	s02-h1	1
2	s04-h2	2
2	s01-h2	1
2	s02-h1	7
2	s16-h2	4
2	s06-h1	1
2	s05-h2	1
2	s19-h2	10
2	s16-h2	19
2	s05-h1	2
2	s15-h1	5
2	s03-h1	1
2	s07-h2	3
2	s11-h1	2
2	s17-h1	4
2	s16-h1	2
2	s19-h1	1
2	s06-h2	9
2	s15-h2	11
2	s09-h1	1
2	s12-h1	16
2	s10-h1	6
2	s17-h2	11
2	s08-h2	4
2	s04-h2	15
2	s11-h1	13
2	s14-h1	1
2	s10-h2	4
2	s09-h2	7
2	s01-h1	14
2	s08-h1	1
2	s14-h2	14
2	s17-h2	1
2	s18-h1	1
2	s01-h1	1
2	s14-h2	1
2	s01-h2	7
2	s01-h1	7
2	s08-h2	12
2	s14-h2	7
2	s19-h2	1
2	s06-h2	4
2	s02-h2	5
2	s06-h2	1
2	s10-h1	1
2	s11-h2	1
2	s15-h1	17
2	s07-h1	1
2	s14-h1	11
3	s15-h2	8
3	s14-h1	14
3	s05-h1	4
3	s15-h1	1
3	s13-h2	1
3	s18-h1	5
3	s02-h1	5
3	s17-h1	9
3	s17-h1	6
3	s09-h2	1
3	s17-h2	17
3	s15-h2	1
3	s01-h2	11
3	s19-h2	5
3	s12-h1	6
3	s18-h2	9
3	s03-h1	11
3	s17-h2	16
3	s01-h1	4
3	s14-h2	4
3	s17-h1	8
3	s08-h2	6
3	s01-h1	19
3	s10-h2	6
3	s01-h2	4
3	s01-h2	10
3	s18-h1	16
3	s06-h1	4
3	s16-h2	9
3	s14-h2	19
3	s14-h1	15
3	s18-h2	5
3	s15-h2	9
3	s04-h1	4
3	s18-h2	8
3	s10-h1	4
3	s03-h1	4
3	s13-h1	6
3	s04-h2	4
3	s03-h1	10
3	s11-h1	5
3	s18-h1	15
3	s16-h2	6
3	s01-h1	18
3	s14-h2	18
3	s08-h1	5
3	s02-h2	7
4	s06-h2	3
4	s02-h2	10
4	s06-h2	6
4	s04-h1	6
4	s12-h1	10
4	s17-h2	5
4	s11-h2	6
4	s17-h1	12
4	s01-h2	6
4	s09-h2	4
4	s08-h2	10
4	s16-h2	11
4	s06-h1	5
4	s06-h2	5
4	s15-h2	13
4	s18-h2	6
4	s05-h1	6
4	s15-h1	12
4	s13-h1	10
4	s03-h1	5
4	s18-h1	7
4	s17-h1	14
4	s08-h2	9
4	s16-h1	6
4	s16-h2	13
4	s19-h1	5
4	s09-h1	5
4	s07-h2	9
4	s13-h2	5
4	s11-h1	8
4	s02-h1	6
4	s01-h1	6
4	s04-h2	7
4	s14-h2	6
4	s11-h1	11
4	s04-h2	10
4	s14-h1	5
4	s19-h2	6
4	s10-h2	11
4	s08-h1	8
5	s19-h2	12
5	s02-h2	4
5	s05-h1	1
5	s04-h1	3
5	s18-h2	7
5	s13-h1	5
5	s07-h2	11
5	s17-h1	3
5	s03-h1	9
5	s11-h1	4
5	s17-h2	14
5	s18-h1	14
5	s02-h1	8
5	s04-h2	3
5	s16-h2	5
5	s19-h2	11
5	s02-h2	6
5	s12-h1	3
5	s05-h1	3
5	s10-h1	8
5	s17-h1	5
5	s08-h2	3
5	s10-h2	3
5	s18-h1	13
5	s04-h1	1
5	s12-h1	5
5	s13-h1	3
5	s10-h1	7
5	s07-h2	12
5	s04-h2	1
5	s08-h2	5
5	s17-h2	15
5	s02-h1	9
5	s16-h2	3
5	s10-h2	5
6	s15-h1	4
6	s07-h2	5
6	s03-h1	6
6	s15-h1	16
6	s18-h1	8
6	s01-h1	11
6	s14-h2	11
6	s14-h1	7
6	s15-h2	4
6	s16-h2	17
6	s06-h2	8
6	s12-h1	15
6	s15-h1	3
6	s01-h1	10
6	s03-h2	2
6	s14-h2	10
6	s17-h1	17
6	s11-h1	15
6	s04-h2	14
6	s09-h2	9
6	s10-h2	15
6	s15-h2	3
6	s19-h2	7
6	s14-h1	9
6	s06-h2	7
6	s15-h2	18
6	s17-h2	6
6	s17-h2	12
6	s01-h1	9
6	s14-h2	9
6	s16-h1	8
6	s08-h2	14
6	s14-h1	8
6	s16-h2	18
7	s12-h1	1
7	s01-h2	12
7	s18-h2	10
7	s13-h1	2
7	s10-h1	9
7	s11-h1	1
7	s03-h1	12
7	s08-h2	1
7	s10-h2	1
7	s16-h2	2
7	s18-h1	17
7	s17-h2	20
7	s01-h1	20
7	s02-h2	3
7	s18-h2	12
7	s13-h1	1
7	s17-h1	2
7	s02-h1	10
7	s17-h2	19
7	s18-h1	19
7	s16-h2	1
7	s02-h2	2
7	s12-h1	2
7	s18-h2	11
7	s10-h1	10
7	s17-h1	1
7	s03-h1	13
7	s08-h2	2
7	s17-h2	18
7	s10-h2	2
7	s18-h1	18
7	s02-h2	1
8	s11-h2	2
8	s07-h2	4
8	s16-h1	3
8	s09-h1	4
8	s09-h2	6
8	s09-h1	7
8	s17-h2	2
8	s19-h1	2
8	s08-h1	6
8	s13-h2	7
8	s18-h1	2
8	s01-h2	2
8	s02-h1	2
8	s01-h1	2
8	s04-h2	9
8	s15-h2	15
8	s14-h2	2
8	s18-h2	2
8	s05-h1	8
8	s11-h1	10
8	s04-h2	12
8	s10-h2	10
8	s19-h2	2
8	s10-h2	13
8	s15-h1	14
8	s15-h1	11
8	s02-h2	12
8	s12-h1	12
8	s08-h1	2
8	s04-h1	8
8	s14-h1	2
9	s18-h1	4
9	s02-h1	4
9	s09-h2	3
9	s18-h2	4
9	s10-h1	3
9	s19-h2	4
9	s16-h2	10
9	s07-h2	8
9	s03-h1	3
9	s02-h2	8
9	s04-h2	6
9	s12-h1	8
9	s11-h1	7
9	s05-h1	5
9	s14-h1	4
9	s13-h2	2
9	s15-h1	8
9	s08-h1	4
9	s15-h2	10
9	s01-h1	3
9	s14-h2	3
9	s11-h2	4
9	s17-h1	10
9	s01-h2	3
9	s04-h1	5
9	s08-h2	8
9	s10-h2	8
9	s16-h1	5
9	s13-h1	7
9	s17-h2	4
9	s06-h1	3
10	s16-h2	21
10	s12-h1	7
10	s11-h1	6
10	s17-h2	10
10	s18-h1	10
10	s04-h2	5
10	s01-h1	13
10	s14-h2	13
10	s16-h2	7
10	s17-h2	8
10	s08-h2	7
10	s12-h1	14
10	s15-h1	2
10	s10-h2	7
10	s07-h2	6
10	s17-h2	9
10	s17-h1	7
10	s16-h2	20
10	s09-h2	2
10	s07-h2	7
10	s19-h2	9
10	s03-h1	8
10	s15-h2	2
11	s15-h1	15
11	s15-h2	17
11	s16-h1	9
11	s16-h2	16
11	s17-h2	7
11	s08-h2	13
11	s14-h1	10
11	s19-h2	8
11	s03-h1	7
11	s03-h2	1
11	s17-h1	16
11	s01-h1	12
11	s04-h2	13
11	s18-h1	9
11	s09-h2	8
11	s11-h1	14
11	s14-h2	12
11	s10-h2	14
12	s14-h1	12
12	s01-h1	15
12	s14-h2	15
12	s15-h1	7
12	s15-h2	7
13	s14-h1	6
13	s15-h1	6
13	s15-h2	6
13	s01-h1	8
13	s14-h2	8
