d1	d2	block_id	forward
11396	13430	1	True
16631	19943	2	True
20041	22802	3	True
78186	81483	4	True
99477	106835	5	True
165422	168667	2	True
168677	171576	3	True
171581	175620	6	True
175937	180333	1	True
180335	184979	7	True
184981	187375	1	True
187377	189408	1	True
189410	194087	7	True
196708	198548	1	True
201366	204480	2	True
204482	207024	3	True
243369	250855	8	True
251679	257670	9	True
257672	262209	10	True
262211	270355	11	True
292447	301377	12	True
307497	315264	13	True
322632	326273	4	True
366008	369601	14	True
369603	375481	9	True
375483	379934	10	True
385629	394522	12	True
401267	411533	15	True
416547	418340	1	True
421279	424187	2	True
424444	426743	3	True
427268	430895	6	True
431228	436278	16	True
436612	440364	17	True
440506	443673	1	True
443707	447756	17	True
447923	449861	1	True
452807	455696	2	True
455988	458387	3	True
458826	462478	6	True
462806	467865	16	True
468218	471954	17	True
472119	474103	1	True
476945	479833	2	True
480088	482620	3	True
482893	486526	6	True
486826	491841	16	True
492203	495908	17	True
496160	499186	1	True
537466	540584	4	False
626561	636651	15	True
664713	672200	8	True
680409	684073	14	True
684075	690070	9	True
694011	701684	11	True
727225	734625	13	True
737721	745054	5	True
