component_id	group	block_id
1	s01_h1	1
1	s04_h2	1
1	s02_h2	1
1	s02_h1	1
1	s03_h2	1
1	s02_h1	7
1	s03_h1	1
1	s01_h2	1
1	s04_h1	1
2	s01_h1	17
2	s03_h2	5
2	s03_h1	2
2	s04_h1	16
2	s03_h2	17
2	s01_h2	9
2	s04_h2	16
2	s01_h1	5
2	s04_h1	3
2	s01_h2	5
2	s01_h1	16
2	s01_h2	2
2	s01_h2	8
2	s02_h1	3
2	s03_h2	16
2	s03_h1	13
2	s04_h2	3
2	s04_h2	15
2	s02_h2	6
2	s02_h2	3
2	s04_h1	2
2	s04_h1	17
2	s03_h1	3
2	s02_h1	2
2	s04_h2	2
2	s01_h1	2
2	s02_h2	2
2	s03_h2	2
3	s04_h2	6
3	s01_h2	6
3	s02_h2	7
3	s03_h1	5
3	s04_h1	6
3	s01_h1	6
3	s02_h1	6
3	s03_h2	6
4	s01_h1	20
4	s01_h2	12
4	s02_h2	10
4	s02_h1	10
4	s02_h2	12
4	s02_h2	11
5	s03_h2	18
5	s03_h1	14
5	s01_h1	18
5	s04_h2	17
5	s01_h2	10
6	s01_h2	7
6	s01_h1	7
6	s03_h2	7
6	s04_h1	7
7	s04_h1	4
7	s02_h2	4
7	s01_h2	3
7	s01_h1	3
7	s02_h1	4
7	s04_h2	4
7	s03_h2	3
7	s03_h1	4
8	s02_h1	5
8	s01_h1	4
8	s03_h2	4
8	s04_h2	5
8	s04_h1	5
8	s01_h2	4
8	s02_h2	5
9	s03_h1	15
9	s01_h1	19
9	s04_h2	18
9	s03_h2	19
9	s01_h2	11
10	s03_h2	9
10	s04_h2	8
10	s04_h1	9
10	s01_h1	9
10	s03_h1	7
11	s03_h1	6
11	s03_h2	8
11	s04_h1	8
11	s01_h1	8
11	s04_h2	7
12	s04_h1	10
12	s01_h1	10
12	s04_h2	9
12	s03_h1	8
12	s03_h2	10
13	s01_h1	11
13	s03_h1	9
13	s03_h2	11
13	s04_h2	10
13	s04_h1	11
14	s03_h2	15
14	s03_h1	12
14	s04_h1	15
14	s01_h1	15
14	s04_h2	14
15	s01_h1	12
15	s04_h2	11
15	s04_h1	12
15	s03_h1	10
15	s03_h2	12
16	s04_h2	13
16	s04_h1	14
16	s03_h2	14
16	s03_h1	11
16	s01_h1	14
17	s04_h1	13
17	s01_h1	13
17	s04_h2	12
17	s03_h2	13
18	s02_h2	8
18	s02_h1	8
19	s02_h2	9
19	s02_h1	9
