block_id	d1	d2
1	38559	46896
1	50486	56334
1	58962	65898
1	67716	75293
1	78247	84744
9	124239	126272
10	127273	129353
5	167194	169932
2	175992	178815
3	178816	181965
4	181966	185041
2	194840	197664
3	197665	200810
4	200811	203880
6	214994	217130
13	217336	219393
29	220100	226319
22	229430	231341
8	231353	237988
11	238014	243647
17	258205	261147
7	261148	264439
12	285018	287191
5	287541	290304
20	293621	296732
6	314885	317161
23	320164	322744
30	343233	345336
28	347093	350958
14	354679	359318
15	359332	361791
16	362004	364279
7	372836	376086
18	376087	381880
8	403371	409035
9	409072	411139
10	412144	414227
11	414228	420126
23	420127	423050
12	457069	459321
9	464133	466209
13	466468	468691
24	478806	481937
25	483194	485989
26	486030	489108
14	497059	501380
15	501393	504000
16	504216	506522
19	515855	525057
21	536141	544691
31	575554	578310
17	590459	593498
7	593499	596749
18	596750	602725
19	604903	613719
20	640325	644158
27	648303	651123
21	651124	659044
22	665408	667540
8	667541	675939
11	675967	681522
23	682022	684429
33	700886	710376
24	720750	724606
25	725811	728306
26	728326	731479
34	735509	737801
14	739575	743987
25	776520	779172
27	790210	793050
28	810544	814430
29	816112	821089
5	824721	827512
30	832614	834641
31	860759	863882
32	871611	873407
32	884321	886307
33	928523	937331
9	938469	940503
25	942110	944372
34	954177	956359
14	957162	961799
9	245328	247403
9	561252	563328
