,s01-h2_block4_101528_108886_F,s01-h2_block4_631468_638801_F,s03-h2_block4_101232_108590_F,s03-h2_block4_875520_882853_F,s02-h2_block5_112481_119885_F,s02-h2_block5_509748_517129_F,s01-h1_block4_101936_109294_F,s01-h1_block4_876295_883628_F,s04-h2_block5_99314_106672_F,s04-h2_block5_833040_840373_F,s04-h1_block5_99477_106835_F,s04-h1_block5_737721_745054_F,s02-h1_block5_112267_119624_F,s02-h1_block5_489094_496428_F
s01-h2_block4_101528_108886_F,100.0,85.64,100.0,85.64,98.9,85.01,100.0,85.6,99.95,85.61,100.0,85.58,99.58,85.65
s01-h2_block4_631468_638801_F,85.64,100.0,85.64,100.0,85.07,99.13,85.64,99.96,85.61,99.95,85.64,99.95,85.6,99.77
s03-h2_block4_101232_108590_F,100.0,85.64,100.0,85.64,98.9,85.01,100.0,85.6,99.95,85.61,100.0,85.58,99.58,85.65
s03-h2_block4_875520_882853_F,85.64,100.0,85.64,100.0,85.07,99.13,85.64,99.96,85.61,99.95,85.64,99.95,85.6,99.77
s02-h2_block5_112481_119885_F,98.9,85.07,98.9,85.07,100.0,85.6,98.9,85.03,98.87,85.05,98.9,85.02,98.99,85.09
s02-h2_block5_509748_517129_F,85.01,99.13,85.01,99.13,85.6,100.0,85.01,99.11,84.98,99.1,85.01,99.1,84.97,99.36
s01-h1_block4_101936_109294_F,100.0,85.64,100.0,85.64,98.9,85.01,100.0,85.6,99.95,85.61,100.0,85.58,99.58,85.65
s01-h1_block4_876295_883628_F,85.6,99.96,85.6,99.96,85.03,99.11,85.6,100.0,85.57,99.93,85.6,99.99,85.56,99.76
s04-h2_block5_99314_106672_F,99.95,85.61,99.95,85.61,98.87,84.98,99.95,85.57,100.0,85.58,99.95,85.56,99.56,85.62
s04-h2_block5_833040_840373_F,85.61,99.95,85.61,99.95,85.05,99.1,85.61,99.93,85.58,100.0,85.61,99.92,85.57,99.74
s04-h1_block5_99477_106835_F,100.0,85.64,100.0,85.64,98.9,85.01,100.0,85.6,99.95,85.61,100.0,85.58,99.58,85.65
s04-h1_block5_737721_745054_F,85.58,99.95,85.58,99.95,85.02,99.1,85.58,99.99,85.56,99.92,85.58,100.0,85.54,99.74
s02-h1_block5_112267_119624_F,99.58,85.6,99.58,85.6,98.99,84.97,99.58,85.56,99.56,85.57,99.58,85.54,100.0,85.61
s02-h1_block5_489094_496428_F,85.65,99.77,85.65,99.77,85.09,99.36,85.65,99.76,85.62,99.74,85.65,99.74,85.61,100.0
