,s03-h2_block6_173653_176867_F,s03-h2_block6_438940_442066_F,s03-h2_block6_463426_466290_F,s03-h2_block6_507933_511037_F,s03-h2_block6_542214_545319_F,s03-h2_block6_566064_569194_F,s03-h2_block6_590542_593423_F,s03-h2_block6_614564_617418_F,s01-h1_block6_174363_177577_F,s01-h1_block6_439650_442776_F,s01-h1_block6_464136_467000_F,s01-h1_block6_508643_511747_F,s01-h1_block6_542924_546029_F,s01-h1_block6_566774_569904_F,s01-h1_block6_591252_594133_F,s01-h1_block6_615274_618128_F,s04-h1_block6_171581_175620_F,s04-h1_block6_427268_430895_F,s04-h1_block6_458826_462478_F,s04-h1_block6_482893_486526_F,s04-h2_block6_172235_175481_F,s04-h2_block6_419381_422508_F,s04-h2_block6_443862_446747_F,s04-h2_block6_478118_481036_F,s04-h2_block6_502482_505169_F,s04-h2_block6_536451_539585_F,s04-h2_block6_560708_563509_F,s02-h1_block6_185879_189950_F,s02-h1_block6_341995_345920_F,s02-h2_block7_339542_344326_F,s02-h2_block7_363316_368003_F,s03-h1_block5_172024_175233_F,s03-h1_block5_410350_413472_F,s03-h1_block5_434854_437702_F,s03-h1_block5_468975_472036_F,s03-h1_block5_493450_496275_F,s03-h1_block5_517031_520160_F,s03-h1_block5_541286_544119_F,s01-h2_block6_173956_177194_F,s01-h2_block6_219147_222267_F,s01-h2_block6_243646_246515_F,s01-h2_block6_288134_291265_F,s01-h2_block6_322415_325546_F,s01-h2_block6_346265_349395_F,s01-h2_block6_370520_373363_F
s03-h2_block6_173653_176867_F,100.0,82.23,85.93,83.44,83.46,83.12,86.31,80.27,100.0,82.23,85.93,83.44,83.46,83.12,86.31,80.27,83.94,73.01,70.41,64.77,99.21,82.21,85.43,86.43,83.46,82.92,79.3,82.73,67.31,50.42,52.25,99.85,82.38,85.7,84.41,85.41,83.13,79.9,99.5,82.35,85.14,83.0,83.04,83.12,79.84
s03-h2_block6_438940_442066_F,82.23,100.0,91.66,97.67,97.79,98.29,91.99,91.47,82.23,100.0,91.66,97.67,97.79,98.29,91.99,91.47,73.76,86.06,83.04,75.86,82.46,99.77,92.05,94.19,88.33,98.44,90.6,74.34,81.48,67.79,68.27,82.17,99.79,91.34,96.92,90.97,98.21,91.11,82.4,99.88,91.61,98.19,98.29,98.29,91.8
s03-h2_block6_463426_466290_F,85.93,91.66,100.0,92.76,92.7,92.47,98.63,90.08,85.93,91.66,100.0,92.76,92.7,92.47,98.63,90.08,69.95,84.98,81.19,74.45,85.31,91.64,99.46,96.55,96.57,92.24,88.37,69.54,78.38,59.84,61.63,86.0,91.84,99.52,93.8,99.08,92.51,89.28,85.56,91.78,99.17,92.47,92.43,92.47,88.91
s03-h2_block6_507933_511037_F,83.44,97.67,92.76,100.0,99.81,99.27,93.28,92.82,83.44,97.67,92.76,100.0,99.81,99.27,93.28,92.82,74.97,87.43,84.41,77.19,82.81,97.52,92.26,95.09,89.7,99.11,91.84,74.59,81.63,65.85,68.14,83.35,97.61,92.43,97.98,92.26,99.23,92.38,82.94,97.55,91.95,99.48,99.31,99.27,92.61
s03-h2_block6_542214_545319_F,83.46,97.79,92.7,99.81,100.0,99.46,93.22,92.7,83.46,97.79,92.7,99.81,100.0,99.46,93.22,92.7,74.99,87.35,84.29,77.07,82.83,97.63,92.2,95.23,89.6,99.23,91.8,74.61,81.56,65.96,68.02,83.35,97.73,92.38,98.17,92.2,99.42,92.3,82.96,97.67,91.89,99.29,99.5,99.46,92.72
s03-h2_block6_566064_569194_F,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,83.12,98.29,92.47,99.27,99.46,100.0,92.84,92.24,74.64,86.89,83.87,76.61,83.1,98.13,92.66,95.65,89.14,99.65,91.37,74.8,82.08,66.46,68.46,83.0,98.23,92.14,98.59,91.74,99.88,91.88,83.23,98.17,92.32,99.71,99.92,100.0,92.3
s03-h2_block6_590542_593423_F,86.31,91.99,98.63,93.28,93.22,92.84,100.0,90.07,86.31,91.99,98.63,93.28,93.22,92.84,100.0,90.07,70.35,84.85,82.52,74.43,85.62,91.93,98.13,96.92,95.44,92.57,89.47,69.87,78.99,60.2,62.03,86.41,92.16,98.34,94.13,98.13,92.84,90.1,85.85,92.11,97.81,92.8,92.76,92.84,89.89
s03-h2_block6_614564_617418_F,80.27,91.47,90.08,92.82,92.7,92.24,90.07,100.0,80.27,91.47,90.08,92.82,92.7,92.24,90.07,100.0,71.79,84.91,83.83,84.37,79.63,91.36,89.55,88.08,90.51,92.05,98.0,71.33,78.15,59.74,61.61,80.17,91.45,89.95,90.93,89.62,92.26,99.0,79.77,91.36,89.26,92.3,92.2,92.24,98.58
s01-h1_block6_174363_177577_F,100.0,82.23,85.93,83.44,83.46,83.12,86.31,80.27,100.0,82.23,85.93,83.44,83.46,83.12,86.31,80.27,83.94,73.01,70.41,64.77,99.21,82.21,85.43,86.43,83.46,82.92,79.3,82.73,67.31,50.42,52.25,99.85,82.38,85.7,84.41,85.41,83.13,79.9,99.5,82.35,85.14,83.0,83.04,83.12,79.84
s01-h1_block6_439650_442776_F,82.23,100.0,91.66,97.67,97.79,98.29,91.99,91.47,82.23,100.0,91.66,97.67,97.79,98.29,91.99,91.47,73.76,86.06,83.04,75.86,82.46,99.77,92.05,94.19,88.33,98.44,90.6,74.34,81.48,67.79,68.27,82.17,99.79,91.34,96.92,90.97,98.21,91.11,82.4,99.88,91.61,98.19,98.29,98.29,91.8
