#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h2tg000215l_7_IGH	+	1	1025106	1025106	h2tg000215l_7_IGH	+	1	1025106	1025106	100.0%
h2tg000215l_7_IGH	+	3470	5765	2296	h2tg000215l_7_IGH	+	4873	7244	2372	72.2%
h2tg000215l_7_IGH	+	3512	4868	1357	h2tg000215l_7_IGH	+	5819	7240	1422	71.3%
h2tg000215l_7_IGH	+	3512	6241	2730	h2tg000215l_7_IGH	+	4749	7240	2492	74.1%
h2tg000215l_7_IGH	+	3513	6337	2825	h2tg000215l_7_IGH	+	4595	7320	2726	73.7%
h2tg000215l_7_IGH	+	3515	4877	1363	h2tg000215l_7_IGH	+	5938	7351	1414	72.5%
h2tg000215l_7_IGH	+	3623	4731	1109	h2tg000215l_7_IGH	+	6134	7240	1107	73.3%
h2tg000215l_7_IGH	+	3624	5956	2333	h2tg000215l_7_IGH	+	4092	6452	2361	72.9%
h2tg000215l_7_IGH	+	3624	5803	2180	h2tg000215l_7_IGH	+	3982	6253	2272	73.7%
h2tg000215l_7_IGH	+	3624	6041	2418	h2tg000215l_7_IGH	+	4932	7320	2389	74.5%
h2tg000215l_7_IGH	+	3632	5007	1376	h2tg000215l_7_IGH	+	5728	7320	1593	74.9%
h2tg000215l_7_IGH	+	3635	4138	504	h2tg000215l_7_IGH	+	6762	7236	475	72.3%
h2tg000215l_7_IGH	+	3636	6514	2879	h2tg000215l_7_IGH	+	4442	7307	2866	74.5%
h2tg000215l_7_IGH	+	3636	6130	2495	h2tg000215l_7_IGH	+	4889	7315	2427	73.3%
h2tg000215l_7_IGH	+	3637	6262	2626	h2tg000215l_7_IGH	+	4753	7236	2484	72.9%
h2tg000215l_7_IGH	+	3637	5591	1955	h2tg000215l_7_IGH	+	5304	7320	2017	72.3%
h2tg000215l_7_IGH	+	3637	5680	2044	h2tg000215l_7_IGH	+	5159	7244	2086	74.4%
h2tg000215l_7_IGH	+	3637	6269	2633	h2tg000215l_7_IGH	+	4855	7350	2496	75.3%
h2tg000215l_7_IGH	+	3677	5407	1731	h2tg000215l_7_IGH	+	5537	7320	1784	72.0%
h2tg000215l_7_IGH	+	3677	5442	1766	h2tg000215l_7_IGH	+	5377	7240	1864	70.1%
h2tg000215l_7_IGH	+	3677	4857	1181	h2tg000215l_7_IGH	+	5242	6501	1260	72.3%
h2tg000215l_7_IGH	+	3677	6352	2676	h2tg000215l_7_IGH	+	4696	7240	2545	72.8%
h2tg000215l_7_IGH	+	3677	6413	2737	h2tg000215l_7_IGH	+	4651	7226	2576	72.2%
h2tg000215l_7_IGH	+	3677	5967	2291	h2tg000215l_7_IGH	+	4431	6722	2292	70.5%
h2tg000215l_7_IGH	+	3677	5944	2268	h2tg000215l_7_IGH	+	4992	7227	2236	69.9%
h2tg000215l_7_IGH	+	3677	6517	2841	h2tg000215l_7_IGH	+	4386	7240	2855	74.2%
h2tg000215l_7_IGH	+	3677	4596	920	h2tg000215l_7_IGH	+	6261	7230	970	74.1%
h2tg000215l_7_IGH	+	3677	4409	733	h2tg000215l_7_IGH	+	6606	7356	751	70.9%
h2tg000215l_7_IGH	+	3677	4561	885	h2tg000215l_7_IGH	+	6392	7320	929	72.7%
h2tg000215l_7_IGH	+	3677	4716	1040	h2tg000215l_7_IGH	+	6211	7240	1030	70.7%
h2tg000215l_7_IGH	+	3677	5844	2168	h2tg000215l_7_IGH	+	5067	7346	2280	74.1%
