,s01-h1_block16_442862_452197_F,s01-h1_block16_467305_476470_F,s01-h1_block16_511856_521201_F,s01-h1_block16_546141_555484_F,s01-h1_block16_569989_579317_F,s01-h1_block16_594420_603453_F,s01-h1_block16_618412_627488_F,s04-h2_block16_459696_466627_F,s04-h2_block16_518072_524979_F,s04-h2_block15_422587_431920_F,s04-h2_block15_447025_456175_F,s04-h2_block15_481116_490394_F,s04-h2_block15_505630_514721_F,s04-h2_block15_539665_548739_F,s04-h2_block15_563845_572966_F,s01-h2_block9_259315_266411_F,s01-h2_block9_269757_276850_F,s01-h2_block9_304052_311140_F,s03-h2_block17_479114_486210_F,s03-h2_block17_489556_496649_F,s03-h2_block17_523851_530939_F,s01-h1_block17_479824_486920_F,s01-h1_block17_490266_497359_F,s01-h1_block17_524561_531649_F,s04-h1_block17_436612_440364_F,s04-h1_block17_443707_447756_F,s04-h1_block17_468218_471954_F,s04-h1_block17_492203_495908_F,s03-h1_block13_413528_422898_F,s03-h1_block13_437992_447175_F,s03-h1_block13_472092_481466_F,s03-h1_block13_496583_505736_F,s03-h1_block13_520216_529408_F,s03-h1_block13_544394_553490_F,s01-h2_block8_222352_231696_F,s01-h2_block8_246810_255969_F,s01-h2_block8_291346_300700_F,s01-h2_block8_325631_334984_F,s01-h2_block8_349479_358679_F,s01-h2_block8_373656_382742_F,s03-h2_block16_442152_451487_F,s03-h2_block16_466595_475760_F,s03-h2_block16_511146_520491_F,s03-h2_block16_545431_554774_F,s03-h2_block16_569279_578607_F,s03-h2_block16_593710_602743_F,s03-h2_block16_617702_626778_F
s01-h1_block16_442862_452197_F,100.0,95.83,97.37,97.28,99.1,97.17,94.42,31.18,34.03,99.73,95.93,98.71,95.47,97.12,94.72,32.55,32.57,32.39,32.55,32.57,32.39,32.55,32.57,32.39,54.47,57.6,55.34,53.96,99.38,95.91,97.68,95.66,97.54,94.22,99.93,95.78,97.44,97.36,98.07,94.47,100.0,95.83,97.37,97.29,99.1,97.17,94.42
s01-h1_block16_467305_476470_F,95.83,100.0,98.01,98.11,95.81,96.29,92.43,32.16,34.92,95.77,99.51,95.4,99.05,93.85,92.78,33.46,33.48,33.3,33.46,33.48,33.3,33.46,33.48,33.3,56.55,57.85,55.71,54.97,95.63,99.8,95.44,99.5,94.31,92.13,95.76,99.82,97.95,98.05,94.81,92.54,95.83,100.0,98.01,98.1,95.81,96.29,92.43
s01-h1_block16_511856_521201_F,97.37,98.01,100.0,99.51,97.31,95.18,93.79,30.73,33.51,97.33,98.27,96.93,97.8,95.31,94.21,32.03,32.05,31.87,32.03,32.05,31.87,32.03,32.05,31.87,55.18,56.52,54.35,53.53,97.14,98.08,97.02,97.89,95.8,93.72,97.32,97.85,99.92,99.48,96.32,93.9,97.37,98.01,100.0,99.5,97.31,95.18,93.79
s01-h1_block16_546141_555484_F,97.28,98.11,99.51,100.0,97.23,95.15,93.79,30.66,33.4,97.25,98.0,96.8,97.55,95.27,94.17,31.94,31.96,31.78,31.94,31.96,31.78,31.94,31.96,31.78,55.08,56.4,54.28,53.5,97.04,98.26,96.97,98.23,95.69,93.67,97.22,97.94,99.45,99.9,96.23,93.88,97.28,98.11,99.51,99.98,97.23,95.15,93.79
s01-h1_block16_569989_579317_F,99.1,95.81,97.31,97.23,100.0,97.03,94.74,30.88,33.72,99.1,95.69,99.44,95.24,97.73,95.04,32.24,32.26,32.09,32.24,32.26,32.09,32.24,32.26,32.09,54.14,57.38,55.39,54.07,99.11,95.91,97.59,95.61,98.38,94.4,99.05,95.64,97.25,97.18,98.97,94.86,99.1,95.81,97.31,97.25,100.0,97.03,94.74
s01-h1_block16_594420_603453_F,97.17,96.29,95.18,95.15,97.03,100.0,94.31,31.58,34.41,97.04,96.36,97.45,95.91,96.65,94.59,32.93,32.96,32.78,32.93,32.96,32.78,32.93,32.96,32.78,54.87,57.97,56.44,56.37,96.96,96.39,95.6,96.29,97.14,94.16,97.1,96.12,95.11,95.08,97.65,94.41,97.17,96.29,95.18,95.16,97.03,100.0,94.31
s01-h1_block16_618412_627488_F,94.42,92.43,93.79,93.79,94.74,94.31,100.0,27.79,30.66,94.41,92.21,95.14,91.77,96.77,99.25,29.19,29.21,29.02,29.19,29.21,29.02,29.19,29.21,29.02,50.48,53.2,51.46,57.14,94.69,92.52,96.4,92.18,96.31,99.37,94.37,92.25,93.75,93.75,95.77,99.67,94.42,92.43,93.79,93.81,94.74,94.31,100.0
s04-h2_block16_459696_466627_F,31.18,32.16,30.73,30.66,30.88,31.58,27.79,100.0,97.06,31.12,32.27,30.48,32.75,28.93,28.23,98.51,98.47,98.68,98.51,98.47,98.68,98.51,98.47,98.68,73.3,73.4,73.58,70.66,30.89,31.99,31.09,32.08,29.38,27.71,31.23,32.34,30.78,30.72,29.89,27.98,31.18,32.16,30.73,30.66,30.88,31.58,27.79
s04-h2_block16_518072_524979_F,34.03,34.92,33.51,33.4,33.72,34.41,30.66,97.06,100.0,33.96,35.05,33.32,35.53,31.77,31.07,98.42,98.45,98.27,98.42,98.45,98.27,98.42,98.45,98.27,73.47,76.28,73.75,73.52,33.72,34.75,33.94,34.83,32.22,30.55,34.08,35.1,33.56,33.47,32.73,30.84,34.03,34.92,33.51,33.4,33.72,34.41,30.66
s04-h2_block15_422587_431920_F,99.73,95.77,97.33,97.25,99.1,97.04,94.41,31.12,33.96,100.0,95.85,98.7,95.41,97.15,94.72,32.48,32.5,32.32,32.48,32.5,32.32,32.48,32.5,32.32,54.41,57.51,55.26,53.94,99.33,95.85,97.68,95.6,97.57,94.22,99.67,95.72,97.39,97.31,98.07,94.5,99.73,95.77,97.33,97.25,99.1,97.04,94.41
