#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg000081l_7_IGH	+	1	692	692	h1tg000081l_7_IGH	+	819343	820289	947	78.3%
h1tg000081l_7_IGH	+	1	697	697	h1tg000081l_7_IGH	+	53241	54313	1073	77.4%
h1tg000081l_7_IGH	+	1	321	321	h1tg000081l_7_IGH	+	841997	842317	321	84.0%
h1tg000081l_7_IGH	+	1	697	697	h1tg000081l_7_IGH	+	941049	941760	712	85.2%
h1tg000081l_7_IGH	+	1	1995	1995	h1tg000081l_7_IGH	+	643100	645413	2314	81.5%
h1tg000081l_7_IGH	+	1	692	692	h1tg000081l_7_IGH	+	123896	124669	774	82.3%
h1tg000081l_7_IGH	+	1	2008	2008	h1tg000081l_7_IGH	+	789204	791553	2350	81.8%
h1tg000081l_7_IGH	+	1	1114295	1114295	h1tg000081l_7_IGH	+	1	1114295	1114295	100.0%
h1tg000081l_7_IGH	+	5	391	387	h1tg000081l_7_IGH	+	659012	659408	397	77.6%
h1tg000081l_7_IGH	+	139	1056	918	h1tg000081l_7_IGH	+	345832	346675	844	69.4%
h1tg000081l_7_IGH	+	202	697	496	h1tg000081l_7_IGH	+	126475	126953	479	72.6%
h1tg000081l_7_IGH	+	202	694	493	h1tg000081l_7_IGH	+	917019	917600	582	70.9%
h1tg000081l_7_IGH	+	457	692	236	h1tg000081l_7_IGH	+	942989	943294	306	72.3%
h1tg000081l_7_IGH	+	494	692	199	h1tg000081l_7_IGH	+	127099	127338	240	76.8%
h1tg000081l_7_IGH	+	494	692	199	h1tg000081l_7_IGH	+	127372	127610	239	75.8%
h1tg000081l_7_IGH	+	494	694	201	h1tg000081l_7_IGH	+	127664	127885	222	75.0%
h1tg000081l_7_IGH	+	502	697	196	h1tg000081l_7_IGH	+	942587	942802	216	74.4%
h1tg000081l_7_IGH	+	520	692	173	h1tg000081l_7_IGH	+	942898	943093	196	78.5%
h1tg000081l_7_IGH	+	520	697	178	h1tg000081l_7_IGH	+	942000	942203	204	78.5%
h1tg000081l_7_IGH	+	521	697	177	h1tg000081l_7_IGH	+	789950	790204	255	83.0%
h1tg000081l_7_IGH	+	527	697	171	h1tg000081l_7_IGH	+	943324	943494	171	80.0%
h1tg000081l_7_IGH	+	530	713	184	h1tg000081l_7_IGH	+	378967	379232	266	79.3%
h1tg000081l_7_IGH	+	530	693	164	h1tg000081l_7_IGH	+	821030	821193	164	76.7%
