,s02-h1_block9_362729_367499_F,s02-h1_block9_551008_555762_F,s02-h2_block9_384579_389384_F,s02-h2_block9_571446_576220_F
s02-h1_block9_362729_367499_F,100.0,86.39,98.06,87.01
s02-h1_block9_551008_555762_F,86.39,100.0,86.56,98.79
s02-h2_block9_384579_389384_F,98.06,86.56,100.0,87.27
s02-h2_block9_571446_576220_F,87.01,98.79,87.27,100.0
