,s02_h1_block5_112267_119624_F,s02_h1_block5_489094_496428_F,s01_h1_block4_101936_109294_F,s01_h1_block4_876295_883628_F,s03_h2_block4_101232_108590_F,s03_h2_block4_875520_882853_F,s04_h2_block5_99314_106672_F,s04_h2_block5_833040_840373_F,s04_h1_block5_99477_106835_F,s04_h1_block5_737721_745054_F,s01_h2_block4_101528_108886_F,s01_h2_block4_631468_638801_F,s02_h2_block5_112481_119885_F,s02_h2_block5_509748_517129_F
s02_h1_block5_112267_119624_F,100.0,85.61,99.58,85.56,99.58,85.6,99.56,85.57,99.58,85.54,99.58,85.6,98.99,84.97
s02_h1_block5_489094_496428_F,85.61,100.0,85.65,99.76,85.65,99.77,85.62,99.74,85.65,99.74,85.65,99.77,85.09,99.36
s01_h1_block4_101936_109294_F,99.58,85.65,100.0,85.6,100.0,85.64,99.95,85.61,100.0,85.58,100.0,85.64,98.9,85.01
s01_h1_block4_876295_883628_F,85.56,99.76,85.6,100.0,85.6,99.96,85.57,99.93,85.6,99.99,85.6,99.96,85.03,99.11
s03_h2_block4_101232_108590_F,99.58,85.65,100.0,85.6,100.0,85.64,99.95,85.61,100.0,85.58,100.0,85.64,98.9,85.01
s03_h2_block4_875520_882853_F,85.6,99.77,85.64,99.96,85.64,100.0,85.61,99.95,85.64,99.95,85.64,100.0,85.07,99.13
s04_h2_block5_99314_106672_F,99.56,85.62,99.95,85.57,99.95,85.61,100.0,85.58,99.95,85.56,99.95,85.61,98.87,84.98
s04_h2_block5_833040_840373_F,85.57,99.74,85.61,99.93,85.61,99.95,85.58,100.0,85.61,99.92,85.61,99.95,85.05,99.1
s04_h1_block5_99477_106835_F,99.58,85.65,100.0,85.6,100.0,85.64,99.95,85.61,100.0,85.58,100.0,85.64,98.9,85.01
s04_h1_block5_737721_745054_F,85.54,99.74,85.58,99.99,85.58,99.95,85.56,99.92,85.58,100.0,85.58,99.95,85.02,99.1
s01_h2_block4_101528_108886_F,99.58,85.65,100.0,85.6,100.0,85.64,99.95,85.61,100.0,85.58,100.0,85.64,98.9,85.01
s01_h2_block4_631468_638801_F,85.6,99.77,85.64,99.96,85.64,100.0,85.61,99.95,85.64,99.95,85.64,100.0,85.07,99.13
s02_h2_block5_112481_119885_F,98.99,85.09,98.9,85.03,98.9,85.07,98.87,85.05,98.9,85.02,98.9,85.07,100.0,85.6
s02_h2_block5_509748_517129_F,84.97,99.36,85.01,99.11,85.01,99.13,84.98,99.1,85.01,99.1,85.01,99.13,85.6,100.0
