,s01-h1_block20_1011311_1017140_F,s01-h1_block20_1021091_1026710_F,s01-h1_block20_1029964_1036046_F,s01-h1_block20_1040048_1045068_F,s01-h1_block20_1049153_1054777_F,s01-h1_block20_1058737_1063950_F,s01-h1_block20_1067532_1073634_F,s01-h1_block20_1077031_1083203_F,s02-h2_block10_662424_664384_F,s02-h2_block10_671895_673763_F,s02-h2_block10_719169_721258_F,s02-h2_block12_667200_669848_F,s02-h2_block12_677208_679592_F,s02-h2_block12_686415_688831_F,s02-h2_block12_695745_698153_F,s02-h2_block12_705183_707404_F,s02-h2_block12_714494_717250_F,s02-h1_block10_641944_649440_F,s02-h1_block10_651706_659059_F,s02-h1_block10_661235_668288_F,s02-h1_block10_670490_677670_F,s02-h1_block10_679858_687061_F,s01-h2_block12_766661_772482_F,s01-h2_block12_776438_782187_F,s01-h2_block12_786172_791525_F,s01-h2_block12_795180_800611_F,s01-h2_block12_804091_809990_F,s01-h2_block12_813712_819820_F,s02-h2_block11_664387_667141_F,s02-h2_block11_673765_677142_F,s02-h2_block11_682927_686148_F,s02-h2_block11_692578_695467_F,s02-h2_block11_701489_704917_F,s02-h2_block11_711110_714327_F
s01-h1_block20_1011311_1017140_F,100.0,87.08,83.69,76.06,88.1,82.23,83.5,84.82,19.17,12.19,9.67,60.76,53.04,51.27,56.26,55.11,55.88,75.5,69.34,64.45,69.14,70.98,99.1,86.87,79.39,85.01,84.02,86.02,62.67,66.46,58.13,62.24,59.9,62.76
s01-h1_block20_1021091_1026710_F,87.08,100.0,84.79,79.27,88.93,91.75,83.81,84.01,20.68,14.54,12.02,57.4,53.17,53.59,63.13,56.4,55.77,67.8,70.38,67.79,81.09,71.21,87.08,87.97,82.76,97.03,86.06,85.23,62.57,69.78,61.12,67.84,62.56,64.58
s01-h1_block20_1029964_1036046_F,83.69,84.79,100.0,70.19,92.77,79.11,87.99,87.26,22.8,16.87,13.8,56.43,55.04,47.21,54.31,52.7,56.37,73.84,83.61,66.43,74.26,77.21,83.61,94.9,73.79,82.65,87.63,86.42,56.02,68.28,61.38,61.15,62.94,60.71
s01-h1_block20_1040048_1045068_F,76.06,79.27,70.19,100.0,75.73,86.95,70.26,72.73,21.18,21.37,18.85,50.53,45.36,64.51,54.02,48.41,48.52,55.83,55.88,76.47,61.42,57.64,75.97,74.05,95.62,81.71,72.62,73.88,69.84,69.95,64.75,65.66,63.76,66.03
s01-h1_block20_1049153_1054777_F,88.1,88.93,92.77,75.73,100.0,84.48,85.31,86.57,19.94,14.48,11.96,61.7,59.74,52.64,59.64,57.73,60.2,69.9,79.64,63.08,70.9,72.66,88.07,96.3,79.17,86.93,85.13,87.41,61.3,72.38,60.05,64.84,60.46,62.59
s01-h1_block20_1058737_1063950_F,82.23,91.75,79.11,86.95,84.48,100.0,79.32,79.66,22.12,19.17,16.65,55.83,51.6,55.08,62.67,54.78,54.15,63.08,64.74,69.36,73.83,66.6,82.24,82.93,85.1,94.41,81.6,80.85,67.27,70.35,65.61,66.84,64.18,66.36
s01-h1_block20_1067532_1073634_F,83.5,83.81,87.99,70.26,85.31,79.32,100.0,88.62,20.04,14.69,11.85,55.13,53.9,45.26,53.35,55.37,56.49,73.14,74.97,63.78,71.81,85.63,83.44,86.97,73.83,81.94,96.25,88.14,57.53,62.5,59.51,59.01,68.0,63.03
s01-h1_block20_1077031_1083203_F,84.82,84.01,87.26,72.73,86.57,79.66,88.62,100.0,17.87,12.26,9.72,55.3,53.66,47.42,53.01,51.48,59.96,72.66,74.39,64.8,70.18,75.31,84.78,87.78,76.12,82.08,86.02,98.4,56.92,63.0,57.77,58.15,61.3,65.55
s02-h2_block10_662424_664384_F,19.17,20.68,22.8,21.18,19.94,22.12,20.04,17.87,100.0,89.55,82.69,47.39,50.41,50.04,50.13,52.27,46.16,35.62,33.09,33.66,35.62,31.58,19.17,18.94,17.14,22.66,23.43,16.97,46.18,46.59,53.02,52.11,51.74,50.06
s02-h2_block10_671895_673763_F,12.19,14.54,16.87,21.37,14.48,19.17,14.69,12.26,89.55,100.0,89.5,48.44,51.45,51.09,51.18,53.32,47.21,25.36,29.56,27.84,31.87,27.11,12.23,13.05,17.57,16.68,18.1,11.31,47.23,40.12,46.91,45.97,46.38,44.4
