,s02_h2_block8_381469_384577_F,s02_h2_block8_568356_571444_F,s02_h2_block8_588015_591396_F,s02_h1_block8_359615_362727_F,s02_h1_block8_547905_551006_F,s02_h1_block8_567560_570946_F
s02_h2_block8_381469_384577_F,100.0,85.9,75.41,98.21,84.59,75.58
s02_h2_block8_568356_571444_F,85.9,100.0,75.75,85.98,98.35,75.93
s02_h2_block8_588015_591396_F,75.41,75.75,100.0,75.73,74.7,99.72
s02_h1_block8_359615_362727_F,98.21,85.98,75.73,100.0,84.79,75.9
s02_h1_block8_547905_551006_F,84.59,98.35,74.7,84.79,100.0,74.53
s02_h1_block8_567560_570946_F,75.58,75.93,99.72,75.9,74.53,100.0
