#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg000089l_5_IGH	+	685	1070	386	h2tg000215l_7_IGH	+	911478	911896	419	76.1%
h1tg000089l_5_IGH	+	763	1441	679	h2tg000215l_7_IGH	+	779622	780362	741	75.0%
h1tg000089l_5_IGH	+	763	1023	261	h2tg000215l_7_IGH	+	761373	761637	265	78.1%
h1tg000089l_5_IGH	+	763	1057	295	h2tg000215l_7_IGH	+	1012781	1013076	296	81.3%
h1tg000089l_5_IGH	+	763	1059	297	h2tg000215l_7_IGH	+	941408	941706	299	78.5%
h1tg000089l_5_IGH	+	764	1071	308	h2tg000215l_7_IGH	+	614943	615248	306	79.8%
h1tg000089l_5_IGH	+	764	1168	405	h2tg000215l_7_IGH	+	788104	788495	392	72.8%
h1tg000089l_5_IGH	+	764	1054	291	h2tg000215l_7_IGH	+	1005440	1005731	292	83.1%
h1tg000089l_5_IGH	+	766	1023	258	h2tg000215l_7_IGH	+	643316	643583	268	78.6%
h1tg000089l_5_IGH	+	767	1183	417	h2tg000215l_7_IGH	+	990668	991068	401	74.7%
h1tg000089l_5_IGH	+	863	1054	192	h2tg000215l_7_IGH	+	232893	233088	196	82.8%
h1tg000089l_5_IGH	+	1147	1441	295	h2tg000215l_7_IGH	+	365346	365650	305	76.0%
h1tg000089l_5_IGH	+	1155	1440	286	h2tg000215l_7_IGH	+	946528	946842	315	75.5%
h1tg000089l_5_IGH	+	1182	1441	260	h2tg000215l_7_IGH	+	310458	310726	269	72.9%
h1tg000089l_5_IGH	+	3548	3869	322	h2tg000215l_7_IGH	+	964857	965152	296	72.0%
h1tg000089l_5_IGH	+	3663	3860	198	h2tg000215l_7_IGH	+	631418	631600	183	73.9%
h1tg000089l_5_IGH	+	3663	3863	201	h2tg000215l_7_IGH	+	879205	879390	186	74.9%
h1tg000089l_5_IGH	+	3668	3901	234	h2tg000215l_7_IGH	+	269236	269455	220	75.9%
h1tg000089l_5_IGH	+	3681	3860	180	h2tg000215l_7_IGH	+	780062	780244	183	72.8%
h1tg000089l_5_IGH	+	3683	3861	179	h2tg000215l_7_IGH	+	178277	178453	177	76.8%
h1tg000089l_5_IGH	+	3686	3878	193	h2tg000215l_7_IGH	+	850068	850249	182	73.6%
h1tg000089l_5_IGH	+	3688	3860	173	h2tg000215l_7_IGH	+	648869	649039	171	80.1%
h1tg000089l_5_IGH	+	3690	3859	170	h2tg000215l_7_IGH	+	323214	323383	170	78.8%
h1tg000089l_5_IGH	+	3690	3859	170	h2tg000215l_7_IGH	+	334079	334248	170	80.0%
h1tg000089l_5_IGH	+	3691	3860	170	h2tg000215l_7_IGH	+	708390	708557	168	79.8%
h1tg000089l_5_IGH	+	3691	3860	170	h2tg000215l_7_IGH	+	254191	254360	170	75.9%
h1tg000089l_5_IGH	+	3692	3886	195	h2tg000215l_7_IGH	+	547284	547477	194	69.3%
h1tg000089l_5_IGH	+	3692	3886	195	h2tg000215l_7_IGH	+	536842	537035	194	69.3%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	526396	526563	168	73.9%
h1tg000089l_5_IGH	+	3692	3886	195	h2tg000215l_7_IGH	+	502556	502748	193	69.3%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	492115	492282	168	73.9%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	468266	468432	167	72.4%
h1tg000089l_5_IGH	+	3692	3886	195	h2tg000215l_7_IGH	+	444423	444616	194	70.6%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	610938	611098	161	78.7%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	103114	103281	168	78.4%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	717323	717492	170	81.7%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	623678	623847	170	81.7%
h1tg000089l_5_IGH	+	3692	3901	210	h2tg000215l_7_IGH	+	774108	774314	207	71.0%
h1tg000089l_5_IGH	+	3692	3860	169	h2tg000215l_7_IGH	+	606493	606661	169	76.3%
h1tg000089l_5_IGH	+	3692	3848	157	h2tg000215l_7_IGH	+	1024347	1024503	157	80.9%
h1tg000089l_5_IGH	+	3693	3886	194	h2tg000215l_7_IGH	+	571566	571760	195	71.0%
h1tg000089l_5_IGH	+	3693	3886	194	h2tg000215l_7_IGH	+	420181	420375	195	71.0%
h1tg000089l_5_IGH	+	3713	3860	148	h2tg000215l_7_IGH	+	246181	246329	149	77.7%
h1tg000089l_5_IGH	+	3857	4834	978	h2tg000215l_7_IGH	+	113576	114535	960	78.8%
h1tg000089l_5_IGH	+	3857	4836	980	h2tg000215l_7_IGH	+	136356	137355	1000	70.6%
h1tg000089l_5_IGH	+	3858	4838	981	h2tg000215l_7_IGH	+	214007	214986	980	73.9%
h1tg000089l_5_IGH	+	4433	4842	410	h2tg000215l_7_IGH	+	112300	112684	385	74.7%
h1tg000089l_5_IGH	+	12304	12634	331	h2tg000215l_7_IGH	+	840125	840460	336	80.9%
h1tg000089l_5_IGH	+	12304	12634	331	h2tg000215l_7_IGH	+	831117	831452	336	80.9%
h1tg000089l_5_IGH	+	12304	12633	330	h2tg000215l_7_IGH	+	822109	822457	349	82.7%
h1tg000089l_5_IGH	+	12308	12629	322	h2tg000215l_7_IGH	+	774090	774411	322	80.1%
h1tg000089l_5_IGH	+	12309	12632	324	h2tg000215l_7_IGH	+	892411	892739	329	74.3%
h1tg000089l_5_IGH	+	12309	12618	310	h2tg000215l_7_IGH	+	799258	799565	308	84.7%
h1tg000089l_5_IGH	+	12310	12633	324	h2tg000215l_7_IGH	+	850056	850370	315	82.4%
h1tg000089l_5_IGH	+	12310	12632	323	h2tg000215l_7_IGH	+	543699	544016	318	81.1%
h1tg000089l_5_IGH	+	12310	12632	323	h2tg000215l_7_IGH	+	533257	533574	318	81.1%
h1tg000089l_5_IGH	+	12310	12634	325	h2tg000215l_7_IGH	+	498977	499295	319	82.1%
h1tg000089l_5_IGH	+	12311	12626	316	h2tg000215l_7_IGH	+	323201	323516	316	80.6%
h1tg000089l_5_IGH	+	12311	12632	322	h2tg000215l_7_IGH	+	334066	334388	323	80.4%
h1tg000089l_5_IGH	+	12312	12633	322	h2tg000215l_7_IGH	+	103105	103420	316	79.0%
h1tg000089l_5_IGH	+	12313	12633	321	h2tg000215l_7_IGH	+	606480	606753	274	78.0%
h1tg000089l_5_IGH	+	12323	12622	300	h2tg000215l_7_IGH	+	689948	690235	288	83.3%
h1tg000089l_5_IGH	+	12323	12620	298	h2tg000215l_7_IGH	+	1024344	1024640	297	81.4%
h1tg000089l_5_IGH	+	12323	12624	302	h2tg000215l_7_IGH	+	610935	611228	294	85.7%
h1tg000089l_5_IGH	+	12324	12623	300	h2tg000215l_7_IGH	+	964976	965272	297	82.4%
h1tg000089l_5_IGH	+	12324	12626	303	h2tg000215l_7_IGH	+	149678	149979	302	80.7%
h1tg000089l_5_IGH	+	12325	12627	303	h2tg000215l_7_IGH	+	551119	551421	303	80.9%
h1tg000089l_5_IGH	+	12325	12632	308	h2tg000215l_7_IGH	+	472105	472412	308	79.9%
h1tg000089l_5_IGH	+	12325	12629	305	h2tg000215l_7_IGH	+	506382	506686	305	81.0%
h1tg000089l_5_IGH	+	12325	12627	303	h2tg000215l_7_IGH	+	424002	424304	303	82.8%
h1tg000089l_5_IGH	+	12325	12632	308	h2tg000215l_7_IGH	+	448242	448549	308	82.5%
h1tg000089l_5_IGH	+	12325	12634	310	h2tg000215l_7_IGH	+	399747	400056	310	81.6%
h1tg000089l_5_IGH	+	12326	12527	202	h2tg000215l_7_IGH	+	879237	879421	185	79.3%
h1tg000089l_5_IGH	+	12326	12566	241	h2tg000215l_7_IGH	+	254192	254433	242	80.9%
h1tg000089l_5_IGH	+	12326	12632	307	h2tg000215l_7_IGH	+	269251	269555	305	81.6%
h1tg000089l_5_IGH	+	12326	12632	307	h2tg000215l_7_IGH	+	648873	649176	304	79.2%
h1tg000089l_5_IGH	+	12326	12633	308	h2tg000215l_7_IGH	+	68532	68838	307	81.7%
h1tg000089l_5_IGH	+	12326	12622	297	h2tg000215l_7_IGH	+	679142	679439	298	83.8%
h1tg000089l_5_IGH	+	12326	12633	308	h2tg000215l_7_IGH	+	623678	623991	314	82.1%
h1tg000089l_5_IGH	+	12326	12633	308	h2tg000215l_7_IGH	+	717323	717629	307	82.3%
h1tg000089l_5_IGH	+	12326	12624	299	h2tg000215l_7_IGH	+	651139	651440	302	82.8%
h1tg000089l_5_IGH	+	12327	12527	201	h2tg000215l_7_IGH	+	631451	631634	184	76.5%
h1tg000089l_5_IGH	+	12327	12633	307	h2tg000215l_7_IGH	+	575389	575695	307	82.1%
h1tg000089l_5_IGH	+	12336	12606	271	h2tg000215l_7_IGH	+	631577	631849	273	82.6%
h1tg000089l_5_IGH	+	12336	12606	271	h2tg000215l_7_IGH	+	879364	879636	273	83.7%
h1tg000089l_5_IGH	+	12336	13582	1247	h2tg000215l_7_IGH	+	1011817	1013063	1247	72.0%
h1tg000089l_5_IGH	+	12336	12626	291	h2tg000215l_7_IGH	+	650398	650690	293	84.2%
h1tg000089l_5_IGH	+	12345	12619	275	h2tg000215l_7_IGH	+	246179	246451	273	80.8%
h1tg000089l_5_IGH	+	12452	12630	179	h2tg000215l_7_IGH	+	178277	178596	320	87.6%
h1tg000089l_5_IGH	+	12481	12614	134	h2tg000215l_7_IGH	+	681956	682087	132	84.1%
h1tg000089l_5_IGH	+	13265	13584	320	h2tg000215l_7_IGH	+	281166	281488	323	82.1%
h1tg000089l_5_IGH	+	13267	13583	317	h2tg000215l_7_IGH	+	1007059	1007376	318	81.4%
h1tg000089l_5_IGH	+	13275	13582	308	h2tg000215l_7_IGH	+	916193	916500	308	85.9%
h1tg000089l_5_IGH	+	13275	13584	310	h2tg000215l_7_IGH	+	68072	68383	312	82.2%
h1tg000089l_5_IGH	+	13275	13493	219	h2tg000215l_7_IGH	+	766668	766890	223	80.8%
h1tg000089l_5_IGH	+	13278	13582	305	h2tg000215l_7_IGH	+	672558	672864	307	87.2%
h1tg000089l_5_IGH	+	13279	13544	266	h2tg000215l_7_IGH	+	749779	750050	272	85.7%
h1tg000089l_5_IGH	+	13279	13583	305	h2tg000215l_7_IGH	+	120196	120505	310	85.9%
h1tg000089l_5_IGH	+	13279	13573	295	h2tg000215l_7_IGH	+	779601	779896	296	86.3%
h1tg000089l_5_IGH	+	13280	13673	394	h2tg000215l_7_IGH	+	990642	991051	410	75.5%
h1tg000089l_5_IGH	+	13281	13476	196	h2tg000215l_7_IGH	+	871941	872138	198	78.8%
h1tg000089l_5_IGH	+	13282	13654	373	h2tg000215l_7_IGH	+	368538	368933	396	76.4%
h1tg000089l_5_IGH	+	13284	13420	137	h2tg000215l_7_IGH	+	359010	359146	137	84.7%
h1tg000089l_5_IGH	+	13285	13584	300	h2tg000215l_7_IGH	+	778143	778446	304	83.6%
h1tg000089l_5_IGH	+	13286	13581	296	h2tg000215l_7_IGH	+	1005427	1005720	294	84.5%
h1tg000089l_5_IGH	+	13291	13584	294	h2tg000215l_7_IGH	+	939172	939469	298	88.1%
h1tg000089l_5_IGH	+	13291	13582	292	h2tg000215l_7_IGH	+	614930	615221	292	82.8%
h1tg000089l_5_IGH	+	13295	13584	290	h2tg000215l_7_IGH	+	80581	80848	268	85.6%
h1tg000089l_5_IGH	+	13295	13581	287	h2tg000215l_7_IGH	+	562303	562593	291	82.2%
h1tg000089l_5_IGH	+	13295	13581	287	h2tg000215l_7_IGH	+	435162	435452	291	81.9%
h1tg000089l_5_IGH	+	13295	13581	287	h2tg000215l_7_IGH	+	410917	411207	291	82.6%
h1tg000089l_5_IGH	+	13296	13589	294	h2tg000215l_7_IGH	+	852028	852288	261	84.0%
h1tg000089l_5_IGH	+	13296	13581	286	h2tg000215l_7_IGH	+	483747	484036	290	81.1%
h1tg000089l_5_IGH	+	13296	13581	286	h2tg000215l_7_IGH	+	459897	460186	290	81.1%
h1tg000089l_5_IGH	+	13296	13581	286	h2tg000215l_7_IGH	+	518028	518317	290	81.8%
h1tg000089l_5_IGH	+	13297	13584	288	h2tg000215l_7_IGH	+	46346	46636	291	80.1%
h1tg000089l_5_IGH	+	13298	13583	286	h2tg000215l_7_IGH	+	899451	899738	288	87.4%
h1tg000089l_5_IGH	+	13299	13584	286	h2tg000215l_7_IGH	+	715358	715613	256	83.5%
h1tg000089l_5_IGH	+	13299	13584	286	h2tg000215l_7_IGH	+	621713	621968	256	83.5%
h1tg000089l_5_IGH	+	13300	13582	283	h2tg000215l_7_IGH	+	44764	45047	284	84.5%
h1tg000089l_5_IGH	+	13301	13583	283	h2tg000215l_7_IGH	+	911544	911867	324	81.3%
h1tg000089l_5_IGH	+	13306	13581	276	h2tg000215l_7_IGH	+	107167	107443	277	84.6%
h1tg000089l_5_IGH	+	13308	13590	283	h2tg000215l_7_IGH	+	645064	645361	298	86.9%
h1tg000089l_5_IGH	+	13309	13581	273	h2tg000215l_7_IGH	+	694714	694994	281	81.9%
h1tg000089l_5_IGH	+	13427	13590	164	h2tg000215l_7_IGH	+	232920	233089	170	83.5%
h1tg000089l_5_IGH	+	13431	13581	151	h2tg000215l_7_IGH	+	40646	40798	153	84.7%
h1tg000089l_5_IGH	+	15560	15693	134	h2tg000215l_7_IGH	+	805090	805234	145	82.1%
h1tg000089l_5_IGH	+	17976	18316	341	h2tg000215l_7_IGH	+	840115	840466	352	79.9%
h1tg000089l_5_IGH	+	17976	18316	341	h2tg000215l_7_IGH	+	831107	831458	352	79.9%
