,s01_h2_block7_181896_186454_F,s01_h2_block7_190959_195536_F,s01_h2_block7_200061_204644_F,s01_h1_block7_182304_186862_F,s01_h1_block7_191367_195944_F,s01_h1_block7_200469_205052_F,s03_h2_block7_181594_186152_F,s03_h2_block7_190657_195234_F,s03_h2_block7_199759_204342_F,s04_h1_block7_180335_184979_F,s04_h1_block7_189410_194087_F
s01_h2_block7_181896_186454_F,100.0,97.26,93.17,100.0,97.26,93.17,100.0,97.26,93.17,98.12,95.15
s01_h2_block7_190959_195536_F,97.26,100.0,95.85,97.26,100.0,95.85,97.26,100.0,95.85,98.48,97.83
s01_h2_block7_200061_204644_F,93.17,95.85,100.0,93.17,95.85,100.0,93.17,95.85,100.0,94.42,98.02
s01_h1_block7_182304_186862_F,100.0,97.26,93.17,100.0,97.26,93.17,100.0,97.26,93.17,98.12,95.15
s01_h1_block7_191367_195944_F,97.26,100.0,95.85,97.26,100.0,95.85,97.26,100.0,95.85,98.48,97.83
s01_h1_block7_200469_205052_F,93.17,95.85,100.0,93.17,95.85,100.0,93.17,95.85,100.0,94.42,98.02
s03_h2_block7_181594_186152_F,100.0,97.26,93.17,100.0,97.26,93.17,100.0,97.26,93.17,98.12,95.15
s03_h2_block7_190657_195234_F,97.26,100.0,95.85,97.26,100.0,95.85,97.26,100.0,95.85,98.48,97.83
s03_h2_block7_199759_204342_F,93.17,95.85,100.0,93.17,95.85,100.0,93.17,95.85,100.0,94.42,98.02
s04_h1_block7_180335_184979_F,98.12,98.48,94.42,98.12,98.48,94.42,98.12,98.48,94.42,100.0,96.4
s04_h1_block7_189410_194087_F,95.15,97.83,98.02,95.15,97.83,98.02,95.15,97.83,98.02,96.4,100.0
