#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg000081l_7_IGH	+	1	697	697	h2tg035618l_1_IGH	+	50708	51780	1073	77.4%
h1tg000081l_7_IGH	+	1	692	692	h2tg035618l_1_IGH	+	776072	776724	653	77.4%
h1tg000081l_7_IGH	+	1	321	321	h2tg035618l_1_IGH	+	798745	799065	321	83.7%
h1tg000081l_7_IGH	+	1	1995	1995	h2tg035618l_1_IGH	+	588533	590633	2101	81.0%
h1tg000081l_7_IGH	+	1	693	693	h2tg035618l_1_IGH	+	121283	122018	736	81.3%
h1tg000081l_7_IGH	+	1	2008	2008	h2tg035618l_1_IGH	+	745934	748283	2350	81.9%
h1tg000081l_7_IGH	+	1	20291	20291	h2tg035618l_1_IGH	+	1	20304	20304	99.6%
h1tg000081l_7_IGH	+	5	391	387	h2tg035618l_1_IGH	+	604236	604632	397	77.4%
h1tg000081l_7_IGH	+	139	1056	918	h2tg035618l_1_IGH	+	325749	326592	844	69.4%
h1tg000081l_7_IGH	+	202	697	496	h2tg035618l_1_IGH	+	123863	124341	479	72.6%
h1tg000081l_7_IGH	+	494	692	199	h2tg035618l_1_IGH	+	124487	124726	240	76.8%
h1tg000081l_7_IGH	+	494	692	199	h2tg035618l_1_IGH	+	124760	124998	239	76.3%
h1tg000081l_7_IGH	+	494	694	201	h2tg035618l_1_IGH	+	125052	125273	222	75.0%
h1tg000081l_7_IGH	+	494	692	199	h2tg035618l_1_IGH	+	776823	777037	215	83.3%
h1tg000081l_7_IGH	+	516	694	179	h2tg035618l_1_IGH	+	589126	589345	220	79.9%
h1tg000081l_7_IGH	+	521	697	177	h2tg035618l_1_IGH	+	746680	746934	255	83.0%
h1tg000081l_7_IGH	+	530	713	184	h2tg035618l_1_IGH	+	358644	358909	266	79.3%
h1tg000081l_7_IGH	+	530	693	164	h2tg035618l_1_IGH	+	777778	777941	164	76.7%
h1tg000081l_7_IGH	+	530	615	86	h2tg035618l_1_IGH	+	609	692	84	81.0%
h1tg000081l_7_IGH	+	534	697	164	h2tg035618l_1_IGH	+	746772	746974	203	82.1%
h1tg000081l_7_IGH	+	534	694	161	h2tg035618l_1_IGH	+	51870	52048	179	78.8%
h1tg000081l_7_IGH	+	538	693	156	h2tg035618l_1_IGH	+	777671	777824	154	77.8%
h1tg000081l_7_IGH	+	538	675	138	h2tg035618l_1_IGH	+	778056	778191	136	72.8%
h1tg000081l_7_IGH	+	538	697	160	h2tg035618l_1_IGH	+	746834	747013	180	82.5%
h1tg000081l_7_IGH	+	538	697	160	h2tg035618l_1_IGH	+	776609	776768	160	80.4%
h1tg000081l_7_IGH	+	538	697	160	h2tg035618l_1_IGH	+	777597	777789	193	84.2%
h1tg000081l_7_IGH	+	547	697	151	h2tg035618l_1_IGH	+	746513	746661	149	75.7%
h1tg000081l_7_IGH	+	547	697	151	h2tg035618l_1_IGH	+	746608	746779	172	82.7%
h1tg000081l_7_IGH	+	558	694	137	h2tg035618l_1_IGH	+	589247	589385	139	84.7%
h1tg000081l_7_IGH	+	558	677	120	h2tg035618l_1_IGH	+	778056	778174	119	78.2%
h1tg000081l_7_IGH	+	608	692	85	h2tg035618l_1_IGH	+	776581	776666	86	84.7%
h1tg000081l_7_IGH	+	697	1058	362	h2tg035618l_1_IGH	+	354219	354575	357	79.7%
h1tg000081l_7_IGH	+	703	1057	355	h2tg035618l_1_IGH	+	832566	832948	383	79.0%
h1tg000081l_7_IGH	+	731	1443	713	h2tg035618l_1_IGH	+	225267	226041	775	71.4%
h1tg000081l_7_IGH	+	760	1079	320	h2tg035618l_1_IGH	+	394317	394634	318	83.0%
h1tg000081l_7_IGH	+	762	1081	320	h2tg035618l_1_IGH	+	76333	76672	340	78.1%
h1tg000081l_7_IGH	+	763	1056	294	h2tg035618l_1_IGH	+	670382	670680	299	80.3%
h1tg000081l_7_IGH	+	763	1064	302	h2tg035618l_1_IGH	+	315493	315783	291	79.9%
h1tg000081l_7_IGH	+	763	1056	294	h2tg035618l_1_IGH	+	712267	712559	293	79.7%
h1tg000081l_7_IGH	+	763	1056	294	h2tg035618l_1_IGH	+	356540	356831	292	82.8%
h1tg000081l_7_IGH	+	763	1071	309	h2tg035618l_1_IGH	+	57610	57918	309	79.7%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	546957	547255	299	76.4%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	488408	488706	299	76.4%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	429857	430155	299	76.4%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	520059	520357	299	76.1%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	461514	461812	299	76.1%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	571210	571508	299	76.4%
h1tg000081l_7_IGH	+	763	1056	294	h2tg035618l_1_IGH	+	727587	727845	259	77.8%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	657612	657912	301	79.1%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	646751	647052	302	78.9%
h1tg000081l_7_IGH	+	763	1060	298	h2tg035618l_1_IGH	+	635882	636183	302	78.9%
h1tg000081l_7_IGH	+	764	1135	372	h2tg035618l_1_IGH	+	381537	381909	373	78.0%
h1tg000081l_7_IGH	+	764	1056	293	h2tg035618l_1_IGH	+	288105	288399	295	81.2%
h1tg000081l_7_IGH	+	764	1048	285	h2tg035618l_1_IGH	+	13303	13584	282	82.1%
h1tg000081l_7_IGH	+	765	1042	278	h2tg035618l_1_IGH	+	605618	605895	278	78.9%
h1tg000081l_7_IGH	+	765	1020	256	h2tg035618l_1_IGH	+	164132	164386	255	81.3%
h1tg000081l_7_IGH	+	768	1060	293	h2tg035618l_1_IGH	+	206104	206399	296	81.8%
h1tg000081l_7_IGH	+	770	1081	312	h2tg035618l_1_IGH	+	804058	804366	309	81.8%
h1tg000081l_7_IGH	+	771	1056	286	h2tg035618l_1_IGH	+	297056	297336	281	79.6%
h1tg000081l_7_IGH	+	778	1057	280	h2tg035618l_1_IGH	+	147356	147637	282	66.4%
h1tg000081l_7_IGH	+	778	1051	274	h2tg035618l_1_IGH	+	233761	234040	280	70.7%
h1tg000081l_7_IGH	+	778	1072	295	h2tg035618l_1_IGH	+	373662	373961	300	78.2%
h1tg000081l_7_IGH	+	778	1072	295	h2tg035618l_1_IGH	+	143570	143869	300	78.2%
h1tg000081l_7_IGH	+	831	1055	225	h2tg035618l_1_IGH	+	373851	374059	209	71.5%
h1tg000081l_7_IGH	+	831	1056	226	h2tg035618l_1_IGH	+	143759	143968	210	73.6%
h1tg000081l_7_IGH	+	836	1056	221	h2tg035618l_1_IGH	+	398830	399052	223	76.5%
h1tg000081l_7_IGH	+	1184	1443	260	h2tg035618l_1_IGH	+	83728	83999	272	75.2%
h1tg000081l_7_IGH	+	1184	1443	260	h2tg035618l_1_IGH	+	390315	390581	267	74.2%
h1tg000081l_7_IGH	+	1184	1441	258	h2tg035618l_1_IGH	+	663323	663591	269	71.2%
h1tg000081l_7_IGH	+	1184	1443	260	h2tg035618l_1_IGH	+	360148	360427	280	75.1%
h1tg000081l_7_IGH	+	1189	1443	255	h2tg035618l_1_IGH	+	418245	418511	267	71.8%
h1tg000081l_7_IGH	+	1189	1443	255	h2tg035618l_1_IGH	+	476770	477036	267	72.9%
h1tg000081l_7_IGH	+	1189	1443	255	h2tg035618l_1_IGH	+	535318	535584	267	73.7%
h1tg000081l_7_IGH	+	1189	1443	255	h2tg035618l_1_IGH	+	111350	111653	304	74.7%
h1tg000081l_7_IGH	+	1189	1324	136	h2tg035618l_1_IGH	+	3713	3860	148	75.0%
h1tg000081l_7_IGH	+	1189	1443	255	h2tg035618l_1_IGH	+	442957	443223	267	76.1%
