,s02-h1_block8_359615_362727_F,s02-h1_block8_547905_551006_F,s02-h1_block8_567560_570946_F,s02-h2_block8_381469_384577_F,s02-h2_block8_568356_571444_F,s02-h2_block8_588015_591396_F
s02-h1_block8_359615_362727_F,100.0,84.79,75.98,98.21,86.1,75.81
s02-h1_block8_547905_551006_F,84.79,100.0,74.53,84.56,98.35,74.7
s02-h1_block8_567560_570946_F,75.98,74.53,100.0,75.53,75.93,99.72
s02-h2_block8_381469_384577_F,98.21,84.56,75.53,100.0,85.87,75.36
s02-h2_block8_568356_571444_F,86.1,98.35,75.93,85.87,100.0,75.75
s02-h2_block8_588015_591396_F,75.81,74.7,99.72,75.36,75.75,100.0
