,s01-h1_block14_376946_380744_F,s01-h1_block14_818540_822507_F,s04-h1_block14_366008_369601_F,s04-h1_block14_680409_684073_F,s03-h2_block14_376236_380034_F,s03-h2_block14_818321_822068_F,s03-h1_block11_347590_351398_F,s03-h1_block11_755404_759229_F,s04-h2_block13_358190_360419_F,s04-h2_block13_777329_779542_F
s01-h1_block14_376946_380744_F,100.0,60.7,94.2,65.74,100.0,69.75,99.69,67.79,63.29,43.2
s01-h1_block14_818540_822507_F,60.7,100.0,57.36,86.71,60.7,79.36,60.68,87.03,32.19,47.84
s04-h1_block14_366008_369601_F,94.2,57.36,100.0,68.12,94.2,71.6,94.45,68.97,60.43,45.25
s04-h1_block14_680409_684073_F,65.74,86.71,68.12,100.0,65.74,89.99,65.72,94.23,40.19,57.8
s03-h2_block14_376236_380034_F,100.0,60.7,94.2,65.74,100.0,69.75,99.69,67.79,63.29,43.2
s03-h2_block14_818321_822068_F,69.75,79.36,71.6,89.99,69.75,100.0,69.73,91.02,44.23,61.79
s03-h1_block11_347590_351398_F,99.69,60.68,94.45,65.72,99.69,69.73,100.0,67.77,63.11,43.2
s03-h1_block11_755404_759229_F,67.79,87.03,68.97,94.23,67.79,91.02,67.77,100.0,39.66,60.41
s04-h2_block13_358190_360419_F,63.29,32.19,60.43,40.19,63.29,44.23,63.11,39.66,100.0,78.02
s04-h2_block13_777329_779542_F,43.2,47.84,45.25,57.8,43.2,61.79,43.2,60.41,78.02,100.0
