,s04_h1_block13_307497_315264_F,s04_h1_block13_727225_734625_F,s01_h1_block13_318432_326199_F,s01_h1_block13_865798_873198_F,s04_h2_block12_298342_306106_F,s04_h2_block12_822546_829942_F,s03_h2_block13_317722_325489_F,s03_h2_block13_865021_872422_F
s04_h1_block13_307497_315264_F,100.0,78.48,99.92,78.47,99.9,78.43,99.92,78.45
s04_h1_block13_727225_734625_F,78.48,100.0,78.48,99.99,78.51,99.85,78.48,99.86
s01_h1_block13_318432_326199_F,99.92,78.48,100.0,78.47,99.85,78.43,100.0,78.45
s01_h1_block13_865798_873198_F,78.47,99.99,78.47,100.0,78.5,99.83,78.47,99.85
s04_h2_block12_298342_306106_F,99.9,78.51,99.85,78.5,100.0,78.46,99.85,78.47
s04_h2_block12_822546_829942_F,78.43,99.85,78.43,99.83,78.46,100.0,78.43,99.86
s03_h2_block13_317722_325489_F,99.92,78.48,100.0,78.47,99.85,78.43,100.0,78.45
s03_h2_block13_865021_872422_F,78.45,99.86,78.45,99.85,78.47,99.86,78.45,100.0
