#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h2tg000042l_9_IGH	+	1	749270	749270	h2tg000042l_9_IGH	+	1	749270	749270	100.0%
h2tg000042l_9_IGH	+	3308	6914	3607	h2tg000042l_9_IGH	+	3666	7346	3681	79.2%
h2tg000042l_9_IGH	+	3312	5304	1993	h2tg000042l_9_IGH	+	5408	7346	1939	75.0%
h2tg000042l_9_IGH	+	3313	4445	1133	h2tg000042l_9_IGH	+	3795	4939	1145	72.8%
h2tg000042l_9_IGH	+	3315	5142	1828	h2tg000042l_9_IGH	+	5301	7111	1811	73.2%
h2tg000042l_9_IGH	+	3315	6661	3347	h2tg000042l_9_IGH	+	4011	7320	3310	74.4%
h2tg000042l_9_IGH	+	3315	4231	917	h2tg000042l_9_IGH	+	6442	7320	879	72.9%
h2tg000042l_9_IGH	+	3316	6410	3095	h2tg000042l_9_IGH	+	3468	6519	3052	69.2%
h2tg000042l_9_IGH	+	3316	6516	3201	h2tg000042l_9_IGH	+	4117	7240	3124	75.4%
h2tg000042l_9_IGH	+	3316	6043	2728	h2tg000042l_9_IGH	+	4564	7246	2683	76.1%
h2tg000042l_9_IGH	+	3317	3992	676	h2tg000042l_9_IGH	+	6658	7320	663	71.5%
h2tg000042l_9_IGH	+	3317	5955	2639	h2tg000042l_9_IGH	+	4158	6740	2583	69.8%
h2tg000042l_9_IGH	+	3317	6422	3106	h2tg000042l_9_IGH	+	4423	7240	2818	76.1%
h2tg000042l_9_IGH	+	3317	6301	2985	h2tg000042l_9_IGH	+	4530	7320	2791	75.7%
h2tg000042l_9_IGH	+	3357	4593	1237	h2tg000042l_9_IGH	+	4922	6383	1462	71.0%
h2tg000042l_9_IGH	+	3357	6659	3303	h2tg000042l_9_IGH	+	4056	7346	3291	71.8%
h2tg000042l_9_IGH	+	3357	6535	3179	h2tg000042l_9_IGH	+	4106	7244	3139	73.9%
h2tg000042l_9_IGH	+	3357	4762	1406	h2tg000042l_9_IGH	+	5741	7240	1500	73.3%
h2tg000042l_9_IGH	+	3357	4387	1031	h2tg000042l_9_IGH	+	4391	5337	947	72.8%
h2tg000042l_9_IGH	+	3357	4455	1099	h2tg000042l_9_IGH	+	6291	7345	1055	72.0%
h2tg000042l_9_IGH	+	3357	4703	1347	h2tg000042l_9_IGH	+	4321	5602	1282	74.7%
h2tg000042l_9_IGH	+	3357	3818	462	h2tg000042l_9_IGH	+	6806	7236	431	74.7%
h2tg000042l_9_IGH	+	3357	4604	1248	h2tg000042l_9_IGH	+	5147	6479	1333	70.3%
h2tg000042l_9_IGH	+	3357	3955	599	h2tg000042l_9_IGH	+	6756	7346	591	71.0%
h2tg000042l_9_IGH	+	3357	6205	2849	h2tg000042l_9_IGH	+	4582	7346	2765	73.2%
h2tg000042l_9_IGH	+	3357	4718	1362	h2tg000042l_9_IGH	+	4306	5602	1297	77.5%
h2tg000042l_9_IGH	+	3357	4629	1273	h2tg000042l_9_IGH	+	6072	7345	1274	73.7%
h2tg000042l_9_IGH	+	3357	4612	1256	h2tg000042l_9_IGH	+	6027	7320	1294	73.3%
h2tg000042l_9_IGH	+	3357	4054	698	h2tg000042l_9_IGH	+	6631	7350	720	72.6%
h2tg000042l_9_IGH	+	3357	6536	3180	h2tg000042l_9_IGH	+	4061	7240	3180	75.7%
h2tg000042l_9_IGH	+	3357	6546	3190	h2tg000042l_9_IGH	+	4421	7320	2900	75.8%
h2tg000042l_9_IGH	+	3357	6739	3383	h2tg000042l_9_IGH	+	4021	7346	3326	73.9%
h2tg000042l_9_IGH	+	3357	6699	3343	h2tg000042l_9_IGH	+	4026	7346	3321	76.0%
h2tg000042l_9_IGH	+	3357	4084	728	h2tg000042l_9_IGH	+	6601	7356	756	72.7%
h2tg000042l_9_IGH	+	3357	4575	1219	h2tg000042l_9_IGH	+	4672	5994	1323	71.9%
h2tg000042l_9_IGH	+	3357	4665	1309	h2tg000042l_9_IGH	+	5891	7238	1348	76.4%
h2tg000042l_9_IGH	+	3357	4491	1135	h2tg000042l_9_IGH	+	6286	7346	1061	73.9%
h2tg000042l_9_IGH	+	3357	4094	738	h2tg000042l_9_IGH	+	6576	7346	771	72.9%
h2tg000042l_9_IGH	+	3357	5546	2190	h2tg000042l_9_IGH	+	4662	7240	2579	76.2%
h2tg000042l_9_IGH	+	3357	4762	1406	h2tg000042l_9_IGH	+	5845	7320	1476	73.8%
h2tg000042l_9_IGH	+	3357	5516	2160	h2tg000042l_9_IGH	+	4712	7240	2529	75.7%
h2tg000042l_9_IGH	+	3357	5191	1835	h2tg000042l_9_IGH	+	5476	7244	1769	72.5%
h2tg000042l_9_IGH	+	3357	4154	798	h2tg000042l_9_IGH	+	6551	7346	796	71.7%
h2tg000042l_9_IGH	+	3357	5530	2174	h2tg000042l_9_IGH	+	4687	7244	2558	77.0%
h2tg000042l_9_IGH	+	3357	4184	828	h2tg000042l_9_IGH	+	6521	7346	826	71.3%
h2tg000042l_9_IGH	+	3357	6479	3123	h2tg000042l_9_IGH	+	4453	7340	2888	76.0%
h2tg000042l_9_IGH	+	3357	6826	3470	h2tg000042l_9_IGH	+	3897	7240	3344	75.8%
h2tg000042l_9_IGH	+	3357	5506	2150	h2tg000042l_9_IGH	+	4732	7240	2509	77.2%
h2tg000042l_9_IGH	+	3357	5536	2180	h2tg000042l_9_IGH	+	4847	7320	2474	75.5%
h2tg000042l_9_IGH	+	3357	6806	3450	h2tg000042l_9_IGH	+	3927	7240	3314	76.9%
h2tg000042l_9_IGH	+	3357	5604	2248	h2tg000042l_9_IGH	+	4747	7341	2595	77.4%
h2tg000042l_9_IGH	+	3357	5446	2090	h2tg000042l_9_IGH	+	4862	7240	2379	78.0%
h2tg000042l_9_IGH	+	3357	7169	3813	h2tg000042l_9_IGH	+	3597	7244	3648	78.9%
h2tg000042l_9_IGH	+	3357	5237	1881	h2tg000042l_9_IGH	+	4972	7086	2115	73.4%
h2tg000042l_9_IGH	+	3357	5309	1953	h2tg000042l_9_IGH	+	5227	7193	1967	73.8%
h2tg000042l_9_IGH	+	3357	7226	3870	h2tg000042l_9_IGH	+	3412	7246	3835	75.0%
h2tg000042l_9_IGH	+	3357	7205	3849	h2tg000042l_9_IGH	+	3417	7240	3824	78.3%
h2tg000042l_9_IGH	+	3357	5524	2168	h2tg000042l_9_IGH	+	4967	7346	2380	76.7%
h2tg000042l_9_IGH	+	3360	4999	1640	h2tg000042l_9_IGH	+	5544	7108	1565	74.4%
h2tg000042l_9_IGH	+	3360	5890	2531	h2tg000042l_9_IGH	+	4224	6690	2467	73.2%
h2tg000042l_9_IGH	+	3360	5047	1688	h2tg000042l_9_IGH	+	5499	7111	1613	73.3%
h2tg000042l_9_IGH	+	3360	7244	3885	h2tg000042l_9_IGH	+	3530	7319	3790	75.5%
h2tg000042l_9_IGH	+	3360	7190	3831	h2tg000042l_9_IGH	+	3470	7240	3771	73.9%
h2tg000042l_9_IGH	+	3360	5365	2006	h2tg000042l_9_IGH	+	5210	7244	2035	74.8%
h2tg000042l_9_IGH	+	3362	4680	1319	h2tg000042l_9_IGH	+	5997	7341	1345	75.3%
h2tg000042l_9_IGH	+	3363	4503	1141	h2tg000042l_9_IGH	+	4673	5916	1244	65.3%
h2tg000042l_9_IGH	+	3363	4576	1214	h2tg000042l_9_IGH	+	5367	6599	1233	68.9%
h2tg000042l_9_IGH	+	3363	5859	2497	h2tg000042l_9_IGH	+	3928	6361	2434	71.6%
h2tg000042l_9_IGH	+	3363	4164	802	h2tg000042l_9_IGH	+	6138	6939	802	75.7%
h2tg000042l_9_IGH	+	3363	5554	2192	h2tg000042l_9_IGH	+	4628	7238	2611	77.6%
h2tg000042l_9_IGH	+	3363	4366	1004	h2tg000042l_9_IGH	+	6393	7320	928	73.6%
h2tg000042l_9_IGH	+	3363	6400	3038	h2tg000042l_9_IGH	+	4484	7346	2863	76.9%
h2tg000042l_9_IGH	+	3363	4846	1484	h2tg000042l_9_IGH	+	5781	7347	1567	75.7%
