,s03_h2_block18_680132_685460_F,s03_h2_block18_691027_696299_F,s03_h2_block18_701808_707025_F,s03_h1_block14_606084_611391_F,s03_h1_block14_617024_622254_F,s03_h1_block14_627851_633047_F,s03_h1_block14_638631_643847_F,s01_h1_block18_680326_685654_F,s01_h1_block18_691221_696493_F,s01_h1_block18_702002_707219_F,s04_h2_block17_625284_630591_F,s04_h2_block17_636222_641453_F,s04_h2_block17_647049_652247_F,s04_h2_block17_657825_663040_F,s01_h2_block10_436081_441409_F,s01_h2_block10_446976_452248_F,s01_h2_block10_457757_462974_F
s03_h2_block18_680132_685460_F,100.0,84.67,78.97,99.4,83.99,83.26,78.93,99.93,84.67,78.97,99.45,84.03,83.21,79.01,100.0,84.67,78.97
s03_h2_block18_691027_696299_F,84.67,100.0,91.66,85.09,99.12,98.56,91.79,84.65,100.0,91.66,85.12,99.12,98.3,91.71,84.67,100.0,91.66
s03_h2_block18_701808_707025_F,78.97,91.66,100.0,79.35,90.91,91.55,99.85,78.95,91.66,100.0,79.39,90.91,91.53,99.87,78.97,91.66,100.0
s03_h1_block14_606084_611391_F,99.4,85.09,79.35,100.0,84.41,83.68,79.32,99.36,85.09,79.35,99.84,84.45,83.61,79.39,99.4,85.09,79.35
s03_h1_block14_617024_622254_F,83.99,99.12,90.91,84.41,100.0,97.72,91.04,83.97,99.12,90.91,84.45,99.96,97.57,90.96,83.99,99.12,90.91
s03_h1_block14_627851_633047_F,83.26,98.56,91.55,83.68,97.72,100.0,91.68,83.24,98.56,91.55,83.72,97.72,99.56,91.6,83.26,98.56,91.55
s03_h1_block14_638631_643847_F,78.93,91.79,99.85,79.32,91.04,91.68,100.0,78.92,91.79,99.85,79.35,91.04,91.66,99.76,78.93,91.79,99.85
s01_h1_block18_680326_685654_F,99.93,84.65,78.95,99.36,83.97,83.24,78.92,100.0,84.65,78.95,99.53,84.01,83.19,78.99,99.93,84.65,78.95
s01_h1_block18_691221_696493_F,84.67,100.0,91.66,85.09,99.12,98.56,91.79,84.65,100.0,91.66,85.12,99.12,98.3,91.71,84.67,100.0,91.66
s01_h1_block18_702002_707219_F,78.97,91.66,100.0,79.35,90.91,91.55,99.85,78.95,91.66,100.0,79.39,90.91,91.53,99.87,78.97,91.66,100.0
s04_h2_block17_625284_630591_F,99.45,85.12,79.39,99.84,84.45,83.72,79.35,99.53,85.12,79.39,100.0,84.48,83.64,79.43,99.45,85.12,79.39
s04_h2_block17_636222_641453_F,84.03,99.12,90.91,84.45,99.96,97.72,91.04,84.01,99.12,90.91,84.48,100.0,97.57,90.96,84.03,99.12,90.91
s04_h2_block17_647049_652247_F,83.21,98.3,91.53,83.61,97.57,99.56,91.66,83.19,98.3,91.53,83.64,97.57,100.0,91.58,83.21,98.3,91.53
s04_h2_block17_657825_663040_F,79.01,91.71,99.87,79.39,90.96,91.6,99.76,78.99,91.71,99.87,79.43,90.96,91.58,100.0,79.01,91.71,99.87
s01_h2_block10_436081_441409_F,100.0,84.67,78.97,99.4,83.99,83.26,78.93,99.93,84.67,78.97,99.45,84.03,83.21,79.01,100.0,84.67,78.97
s01_h2_block10_446976_452248_F,84.67,100.0,91.66,85.09,99.12,98.56,91.79,84.65,100.0,91.66,85.12,99.12,98.3,91.71,84.67,100.0,91.66
s01_h2_block10_457757_462974_F,78.97,91.66,100.0,79.35,90.91,91.55,99.85,78.95,91.66,100.0,79.39,90.91,91.53,99.87,78.97,91.66,100.0
