#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg098050l_5_IGH	+	1	386	386	h1tg098050l_5_IGH	+	527189	527584	396	77.0%
h1tg098050l_5_IGH	+	1	884442	884442	h1tg098050l_5_IGH	+	1	884442	884442	100.0%
h1tg098050l_5_IGH	+	3	316	314	h1tg098050l_5_IGH	+	703433	703745	313	83.3%
h1tg098050l_5_IGH	+	3	692	690	h1tg098050l_5_IGH	+	651082	651840	759	85.6%
h1tg098050l_5_IGH	+	4	692	689	h1tg098050l_5_IGH	+	50726	51484	759	75.9%
h1tg098050l_5_IGH	+	4	692	689	h1tg098050l_5_IGH	+	681221	681830	610	76.9%
h1tg098050l_5_IGH	+	4	692	689	h1tg098050l_5_IGH	+	366818	367525	708	76.5%
h1tg098050l_5_IGH	+	4	692	689	h1tg098050l_5_IGH	+	802586	803287	702	85.3%
h1tg098050l_5_IGH	+	4	1989	1986	h1tg098050l_5_IGH	+	511519	513590	2072	82.3%
h1tg098050l_5_IGH	+	5	688	684	h1tg098050l_5_IGH	+	121456	122181	726	81.5%
h1tg098050l_5_IGH	+	197	1985	1789	h1tg098050l_5_IGH	+	778445	780306	1862	69.5%
h1tg098050l_5_IGH	+	396	1053	658	h1tg098050l_5_IGH	+	240109	240743	635	71.0%
h1tg098050l_5_IGH	+	489	687	199	h1tg098050l_5_IGH	+	124923	125161	239	76.8%
h1tg098050l_5_IGH	+	497	692	196	h1tg098050l_5_IGH	+	803166	803384	219	74.4%
h1tg098050l_5_IGH	+	525	686	162	h1tg098050l_5_IGH	+	803627	803807	181	83.3%
h1tg098050l_5_IGH	+	525	2002	1478	h1tg098050l_5_IGH	+	652024	653423	1400	81.3%
h1tg098050l_5_IGH	+	755	1073	319	h1tg098050l_5_IGH	+	403208	403525	318	82.9%
h1tg098050l_5_IGH	+	758	1050	293	h1tg098050l_5_IGH	+	617730	618021	292	79.7%
