,s04_h1_block4_78186_81483_F,s04_h1_block4_322632_326273_F,s04_h1_block4_537466_540584_RC,s02_h2_block4_90391_94474_RC,s02_h2_block4_418638_422461_F,s01_h2_block3_79493_83535_RC,s01_h2_block3_424294_428116_F,s01_h1_block3_80647_83943_F,s01_h1_block3_333567_337199_F,s01_h1_block3_669289_672402_RC,s02_h1_block4_90226_94309_RC,s02_h1_block4_396463_400286_F,s04_h2_block4_78026_81323_F,s04_h2_block4_313473_317115_F,s04_h2_block4_614513_617631_RC,s03_h2_block3_79944_83241_F,s03_h2_block3_332857_336490_F,s03_h2_block3_668345_671463_RC,s03_h1_block4_78666_81965_F,s03_h1_block4_304239_307874_F,s03_h1_block4_595042_598160_RC
s04_h1_block4_78186_81483_F,100.0,65.59,71.14,28.52,32.66,28.66,32.66,99.98,65.66,70.98,28.52,32.66,99.93,65.54,71.16,100.0,65.66,71.14,99.91,65.61,71.14
s04_h1_block4_322632_326273_F,65.59,100.0,71.12,33.5,34.02,33.48,34.11,65.59,99.75,71.03,33.48,34.07,65.59,99.89,71.12,65.59,99.73,71.12,65.64,99.8,71.07
s04_h1_block4_537466_540584_RC,71.14,71.12,100.0,31.29,30.61,31.39,30.66,71.14,71.32,99.82,31.29,30.63,71.16,71.14,99.98,71.14,71.3,99.98,71.14,71.25,99.95
s02_h2_block4_90391_94474_RC,28.52,33.5,31.29,100.0,72.94,97.5,72.91,28.52,33.5,31.25,99.89,72.96,28.56,33.5,31.27,28.52,33.5,31.27,28.54,33.43,31.29
s02_h2_block4_418638_422461_F,32.66,34.02,30.61,72.94,100.0,72.16,99.66,32.68,34.02,30.59,72.89,99.7,32.68,34.02,30.59,32.66,34.02,30.59,32.64,33.95,30.59
s01_h2_block3_79493_83535_RC,28.66,33.48,31.39,97.5,72.16,100.0,72.14,28.66,33.48,31.34,97.43,72.19,28.7,33.48,31.36,28.66,33.48,31.36,28.68,33.41,31.39
s01_h2_block3_424294_428116_F,32.66,34.11,30.66,72.91,99.66,72.14,100.0,32.68,34.11,30.63,72.87,99.64,32.68,34.11,30.63,32.66,34.11,30.63,32.64,34.05,30.63
s01_h1_block3_80647_83943_F,99.98,65.59,71.14,28.52,32.68,28.66,32.68,100.0,65.66,70.98,28.52,32.68,99.91,65.54,71.16,99.98,65.66,71.14,99.89,65.61,71.14
s01_h1_block3_333567_337199_F,65.66,99.75,71.32,33.5,34.02,33.48,34.11,65.66,100.0,71.23,33.48,34.07,65.66,99.68,71.32,65.66,99.98,71.32,65.7,99.86,71.28
s01_h1_block3_669289_672402_RC,70.98,71.03,99.82,31.25,30.59,31.34,30.63,70.98,71.23,100.0,31.25,30.61,71.0,71.05,99.8,70.98,71.21,99.8,71.03,71.16,99.77
s02_h1_block4_90226_94309_RC,28.52,33.48,31.29,99.89,72.89,97.43,72.87,28.52,33.48,31.25,100.0,72.91,28.56,33.48,31.27,28.52,33.48,31.27,28.54,33.41,31.29
s02_h1_block4_396463_400286_F,32.66,34.07,30.63,72.96,99.7,72.19,99.64,32.68,34.07,30.61,72.91,100.0,32.68,34.07,30.61,32.66,34.07,30.61,32.64,34.0,30.61
s04_h2_block4_78026_81323_F,99.93,65.59,71.16,28.56,32.68,28.7,32.68,99.91,65.66,71.0,28.56,32.68,100.0,65.54,71.18,99.93,65.66,71.16,99.84,65.61,71.16
s04_h2_block4_313473_317115_F,65.54,99.89,71.14,33.5,34.02,33.48,34.11,65.54,99.68,71.05,33.48,34.07,65.54,100.0,71.14,65.54,99.66,71.14,65.59,99.73,71.09
s04_h2_block4_614513_617631_RC,71.16,71.12,99.98,31.27,30.59,31.36,30.63,71.16,71.32,99.8,31.27,30.61,71.18,71.14,100.0,71.16,71.3,99.95,71.16,71.25,99.93
s03_h2_block3_79944_83241_F,100.0,65.59,71.14,28.52,32.66,28.66,32.66,99.98,65.66,70.98,28.52,32.66,99.93,65.54,71.16,100.0,65.66,71.14,99.91,65.61,71.14
s03_h2_block3_332857_336490_F,65.66,99.73,71.3,33.5,34.02,33.48,34.11,65.66,99.98,71.21,33.48,34.07,65.66,99.66,71.3,65.66,100.0,71.3,65.7,99.84,71.25
s03_h2_block3_668345_671463_RC,71.14,71.12,99.98,31.27,30.59,31.36,30.63,71.14,71.32,99.8,31.27,30.61,71.16,71.14,99.95,71.14,71.3,100.0,71.14,71.25,99.93
s03_h1_block4_78666_81965_F,99.91,65.64,71.14,28.54,32.64,28.68,32.64,99.89,65.7,71.03,28.54,32.64,99.84,65.59,71.16,99.91,65.7,71.14,100.0,65.66,71.14
s03_h1_block4_304239_307874_F,65.61,99.8,71.25,33.43,33.95,33.41,34.05,65.61,99.86,71.16,33.41,34.0,65.61,99.73,71.25,65.61,99.84,71.25,65.66,100.0,71.21
s03_h1_block4_595042_598160_RC,71.14,71.07,99.95,31.29,30.59,31.39,30.63,71.14,71.28,99.77,31.29,30.61,71.16,71.09,99.93,71.14,71.25,99.93,71.14,71.21,100.0
