,s03_h2_block9_261935_267905_F,s03_h2_block9_380036_385905_F,s03_h2_block9_822070_827860_F,s04_h2_block8_242521_248504_F,s04_h2_block8_360421_366308_F,s04_h2_block8_779585_785388_F,s04_h1_block9_251679_257670_F,s04_h1_block9_369603_375481_F,s04_h1_block9_684075_690070_F,s01_h1_block9_262645_268615_F,s01_h1_block9_380746_386615_F,s01_h1_block9_822509_828640_F,s03_h1_block7_233286_239264_F,s03_h1_block7_351400_357288_F,s03_h1_block7_759231_765146_F
s03_h2_block9_261935_267905_F,100.0,79.07,78.21,99.58,79.27,78.35,99.61,79.43,80.41,100.0,79.07,78.25,99.83,79.29,79.73
s03_h2_block9_380036_385905_F,79.07,100.0,78.38,79.05,99.61,78.55,78.76,98.54,80.89,79.07,100.0,78.74,78.94,99.65,80.09
s03_h2_block9_822070_827860_F,78.21,78.38,100.0,78.21,78.54,99.75,77.89,78.85,96.75,78.21,78.38,94.6,78.08,78.55,97.86
s04_h2_block8_242521_248504_F,99.58,79.05,78.21,100.0,79.26,78.35,99.4,79.42,80.41,99.58,79.05,78.25,99.62,79.27,79.73
s04_h2_block8_360421_366308_F,79.27,99.61,78.54,79.26,100.0,78.71,78.96,98.87,81.05,79.27,99.61,78.9,79.15,99.95,80.25
s04_h2_block8_779585_785388_F,78.35,78.55,99.75,78.35,78.71,100.0,78.03,79.02,96.97,78.35,78.55,94.85,78.22,78.73,98.05
s04_h1_block9_251679_257670_F,99.61,78.76,77.89,99.4,78.96,78.03,100.0,79.12,80.09,99.61,78.76,77.94,99.78,78.98,79.42
s04_h1_block9_369603_375481_F,79.43,98.54,78.85,79.42,98.87,79.02,79.12,100.0,81.35,79.43,98.54,79.2,79.31,98.89,80.55
s04_h1_block9_684075_690070_F,80.41,80.89,96.75,80.41,81.05,96.97,80.09,81.35,100.0,80.41,80.89,97.85,80.28,81.06,98.67
s01_h1_block9_262645_268615_F,100.0,79.07,78.21,99.58,79.27,78.35,99.61,79.43,80.41,100.0,79.07,78.25,99.83,79.29,79.73
s01_h1_block9_380746_386615_F,79.07,100.0,78.38,79.05,99.61,78.55,78.76,98.54,80.89,79.07,100.0,78.74,78.94,99.65,80.09
s01_h1_block9_822509_828640_F,78.25,78.74,94.6,78.25,78.9,94.85,77.94,79.2,97.85,78.25,78.74,100.0,78.13,78.91,96.51
s03_h1_block7_233286_239264_F,99.83,78.94,78.08,99.62,79.15,78.22,99.78,79.31,80.28,99.83,78.94,78.13,100.0,79.16,79.6
s03_h1_block7_351400_357288_F,79.29,99.65,78.55,79.27,99.95,78.73,78.98,98.89,81.06,79.29,99.65,78.91,79.16,100.0,80.26
s03_h1_block7_759231_765146_F,79.73,80.09,97.86,79.73,80.25,98.05,79.42,80.55,98.67,79.73,80.09,96.51,79.6,80.26,100.0
