#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg000081l_7_IGH	+	759	1057	299	h1tg000084l_7_IGH	+	346441	346747	307	79.9%
h1tg000081l_7_IGH	+	762	1072	311	h1tg000084l_7_IGH	+	225005	225307	303	82.1%
h1tg000081l_7_IGH	+	763	1059	297	h1tg000084l_7_IGH	+	170372	170668	297	81.6%
h1tg000081l_7_IGH	+	763	1443	681	h1tg000084l_7_IGH	+	445559	446301	743	74.8%
h1tg000081l_7_IGH	+	763	1094	332	h1tg000084l_7_IGH	+	591894	592228	335	81.2%
h1tg000081l_7_IGH	+	763	1126	364	h1tg000084l_7_IGH	+	381259	381600	342	77.7%
h1tg000081l_7_IGH	+	763	1059	297	h1tg000084l_7_IGH	+	552100	552395	296	79.9%
h1tg000081l_7_IGH	+	763	1059	297	h1tg000084l_7_IGH	+	676536	676833	298	81.1%
h1tg000081l_7_IGH	+	763	1069	307	h1tg000084l_7_IGH	+	111298	111579	282	82.6%
h1tg000081l_7_IGH	+	763	1056	294	h1tg000084l_7_IGH	+	669172	669466	295	83.3%
h1tg000081l_7_IGH	+	764	1056	293	h1tg000084l_7_IGH	+	75663	75953	291	80.6%
h1tg000081l_7_IGH	+	764	1073	310	h1tg000084l_7_IGH	+	374492	374797	306	79.3%
h1tg000081l_7_IGH	+	764	1057	294	h1tg000084l_7_IGH	+	502739	503000	262	81.5%
h1tg000081l_7_IGH	+	764	1061	298	h1tg000084l_7_IGH	+	594094	594393	300	77.9%
h1tg000081l_7_IGH	+	766	1170	405	h1tg000084l_7_IGH	+	454046	454437	392	73.1%
h1tg000081l_7_IGH	+	767	1063	297	h1tg000084l_7_IGH	+	157319	157613	295	80.2%
h1tg000081l_7_IGH	+	767	1185	419	h1tg000084l_7_IGH	+	656942	657344	403	74.6%
h1tg000081l_7_IGH	+	971	1270	300	h1tg000084l_7_IGH	+	80238	80440	203	70.3%
h1tg000081l_7_IGH	+	1117	1443	327	h1tg000084l_7_IGH	+	267109	267446	338	70.1%
h1tg000081l_7_IGH	+	1149	1443	295	h1tg000084l_7_IGH	+	300977	301281	305	76.0%
h1tg000081l_7_IGH	+	1184	1443	260	h1tg000084l_7_IGH	+	440065	440336	272	73.5%
h1tg000081l_7_IGH	+	1184	1441	258	h1tg000084l_7_IGH	+	383243	383513	271	70.5%
h1tg000081l_7_IGH	+	1184	1380	197	h1tg000084l_7_IGH	+	365935	366143	209	75.1%
h1tg000081l_7_IGH	+	1184	1441	258	h1tg000084l_7_IGH	+	211008	211275	268	78.9%
h1tg000081l_7_IGH	+	1185	1436	252	h1tg000084l_7_IGH	+	532019	532284	266	72.6%
h1tg000081l_7_IGH	+	1189	1443	255	h1tg000084l_7_IGH	+	465222	465488	267	74.5%
h1tg000081l_7_IGH	+	1189	1443	255	h1tg000084l_7_IGH	+	61898	62196	299	78.8%
h1tg000081l_7_IGH	+	3557	3861	305	h1tg000084l_7_IGH	+	99274	99570	297	71.9%
h1tg000081l_7_IGH	+	3659	3862	204	h1tg000084l_7_IGH	+	599250	599450	201	71.6%
h1tg000081l_7_IGH	+	3665	3865	201	h1tg000084l_7_IGH	+	531853	532038	186	74.9%
h1tg000081l_7_IGH	+	3670	3903	234	h1tg000084l_7_IGH	+	210977	211196	220	75.9%
h1tg000081l_7_IGH	+	3683	3904	222	h1tg000084l_7_IGH	+	531991	532211	221	69.7%
h1tg000081l_7_IGH	+	3688	3880	193	h1tg000084l_7_IGH	+	500771	500952	182	76.4%
h1tg000081l_7_IGH	+	3694	3862	169	h1tg000084l_7_IGH	+	370366	370525	160	78.1%
h1tg000081l_7_IGH	+	3694	3862	169	h1tg000084l_7_IGH	+	153267	153434	168	78.4%
