#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
h1tg000084l_7_IGH	+	626355	627082	728	h1tg098050l_5_IGH	-	31829	32521	693	67.9%
h1tg000084l_7_IGH	+	625855	627076	1222	h1tg098050l_5_IGH	-	226362	227582	1221	64.4%
h1tg000084l_7_IGH	+	626634	627003	370	h1tg098050l_5_IGH	-	106823	107157	335	70.4%
h1tg000084l_7_IGH	+	626662	627000	339	h1tg098050l_5_IGH	-	242291	242598	308	77.5%
h1tg000084l_7_IGH	+	626662	626999	338	h1tg098050l_5_IGH	-	83857	84164	308	75.0%
h1tg000084l_7_IGH	+	626634	626998	365	h1tg098050l_5_IGH	-	236384	236706	323	72.4%
h1tg000084l_7_IGH	+	626636	626987	352	h1tg098050l_5_IGH	-	766793	767110	318	73.9%
h1tg000084l_7_IGH	+	626662	626978	317	h1tg098050l_5_IGH	-	19687	19969	283	77.4%
h1tg000084l_7_IGH	+	626634	626965	332	h1tg098050l_5_IGH	-	80900	81202	303	71.3%
h1tg000084l_7_IGH	+	626665	626963	299	h1tg098050l_5_IGH	-	1183	1437	255	78.8%
h1tg000084l_7_IGH	+	626634	626953	320	h1tg098050l_5_IGH	-	253214	253501	288	73.4%
h1tg000084l_7_IGH	+	624463	624860	398	h1tg098050l_5_IGH	-	169283	169692	410	79.4%
h1tg000084l_7_IGH	+	624463	624851	389	h1tg098050l_5_IGH	-	182192	182579	388	79.2%
h1tg000084l_7_IGH	+	624463	624839	377	h1tg098050l_5_IGH	-	480619	480986	368	79.5%
h1tg000084l_7_IGH	+	624463	624839	377	h1tg098050l_5_IGH	-	456373	456740	368	78.9%
h1tg000084l_7_IGH	+	624463	624839	377	h1tg098050l_5_IGH	-	424720	425087	368	79.7%
h1tg000084l_7_IGH	+	624463	624839	377	h1tg098050l_5_IGH	-	20966	21337	372	82.2%
h1tg000084l_7_IGH	+	624463	624839	377	h1tg098050l_5_IGH	-	205225	205597	373	77.1%
h1tg000084l_7_IGH	+	624466	624835	370	h1tg098050l_5_IGH	-	539915	540278	364	79.1%
h1tg000084l_7_IGH	+	624569	624833	265	h1tg098050l_5_IGH	-	689823	690065	243	76.1%
h1tg000084l_7_IGH	+	624062	624554	493	h1tg098050l_5_IGH	-	845981	846475	495	93.3%
h1tg000084l_7_IGH	+	617233	617727	495	h1tg098050l_5_IGH	-	852804	853296	493	91.5%
h1tg000084l_7_IGH	+	617076	617356	281	h1tg098050l_5_IGH	-	817788	818100	313	77.3%
h1tg000084l_7_IGH	+	617073	617251	179	h1tg098050l_5_IGH	-	57741	57917	177	81.8%
h1tg000084l_7_IGH	+	617078	617250	173	h1tg098050l_5_IGH	-	572265	572434	170	83.4%
h1tg000084l_7_IGH	+	617076	617250	175	h1tg098050l_5_IGH	-	335574	335748	175	84.5%
h1tg000084l_7_IGH	+	617094	617250	157	h1tg098050l_5_IGH	-	640842	640999	158	83.3%
h1tg000084l_7_IGH	+	617069	617250	182	h1tg098050l_5_IGH	-	632809	632990	182	82.3%
h1tg000084l_7_IGH	+	617076	617250	175	h1tg098050l_5_IGH	-	407767	407941	175	81.0%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	306329	306489	161	84.4%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	143988	144132	145	85.4%
h1tg000084l_7_IGH	+	617041	617237	197	h1tg098050l_5_IGH	-	324770	324956	187	79.6%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	363569	363734	166	83.8%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	234612	234777	166	78.4%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	559376	559538	163	83.3%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	390573	390736	164	82.7%
h1tg000084l_7_IGH	+	617076	617237	162	h1tg098050l_5_IGH	-	297391	297554	164	82.7%
h1tg000084l_7_IGH	+	617076	617234	159	h1tg098050l_5_IGH	-	365847	366004	158	82.8%
h1tg000084l_7_IGH	+	612890	613248	359	h1tg098050l_5_IGH	-	528504	528880	377	77.7%
h1tg000084l_7_IGH	+	612881	613231	351	h1tg098050l_5_IGH	-	76460	76824	365	78.3%
h1tg000084l_7_IGH	+	612903	613227	325	h1tg098050l_5_IGH	-	173475	173792	318	82.0%
h1tg000084l_7_IGH	+	612904	613218	315	h1tg098050l_5_IGH	-	192411	192719	309	80.0%
h1tg000084l_7_IGH	+	612904	613218	315	h1tg098050l_5_IGH	-	183403	183711	309	79.7%
h1tg000084l_7_IGH	+	612908	613218	311	h1tg098050l_5_IGH	-	783890	784197	308	82.4%
h1tg000084l_7_IGH	+	612890	613218	329	h1tg098050l_5_IGH	-	559226	559552	327	77.1%
h1tg000084l_7_IGH	+	612896	613218	323	h1tg098050l_5_IGH	-	817790	818109	320	81.4%
h1tg000084l_7_IGH	+	612892	613218	327	h1tg098050l_5_IGH	-	617711	618037	327	81.0%
h1tg000084l_7_IGH	+	612890	613215	326	h1tg098050l_5_IGH	-	572131	572455	325	80.6%
h1tg000084l_7_IGH	+	612904	613215	312	h1tg098050l_5_IGH	-	365699	366010	312	79.5%
h1tg000084l_7_IGH	+	612944	613212	269	h1tg098050l_5_IGH	-	164285	164555	271	83.6%
h1tg000084l_7_IGH	+	612908	613212	305	h1tg098050l_5_IGH	-	403201	403499	299	82.9%
h1tg000084l_7_IGH	+	612908	613205	298	h1tg098050l_5_IGH	-	737329	737628	300	81.2%
h1tg000084l_7_IGH	+	612908	613205	298	h1tg098050l_5_IGH	-	363433	363736	304	81.5%
h1tg000084l_7_IGH	+	612917	613204	288	h1tg098050l_5_IGH	-	364188	364478	291	79.4%
h1tg000084l_7_IGH	+	612907	613204	298	h1tg098050l_5_IGH	-	390438	390739	302	78.2%
h1tg000084l_7_IGH	+	612907	613204	298	h1tg098050l_5_IGH	-	297256	297557	302	78.2%
h1tg000084l_7_IGH	+	612908	613203	296	h1tg098050l_5_IGH	-	215279	215577	299	80.7%
h1tg000084l_7_IGH	+	612891	613203	313	h1tg098050l_5_IGH	-	708726	709043	318	84.0%
h1tg000084l_7_IGH	+	612884	613201	318	h1tg098050l_5_IGH	-	335453	335777	325	78.6%
h1tg000084l_7_IGH	+	612917	613201	285	h1tg098050l_5_IGH	-	13299	13582	284	84.2%
h1tg000084l_7_IGH	+	612908	613199	292	h1tg098050l_5_IGH	-	757	1050	294	80.7%
h1tg000084l_7_IGH	+	611316	611657	342	h1tg098050l_5_IGH	-	57587	57930	344	79.2%
h1tg000084l_7_IGH	+	611274	611635	362	h1tg098050l_5_IGH	-	748	1094	347	79.7%
h1tg000084l_7_IGH	+	611317	611628	312	h1tg098050l_5_IGH	-	324644	324947	304	83.6%
