,s02_h2_block9_384579_389384_F,s02_h2_block9_571446_576220_F,s02_h1_block9_362729_367499_F,s02_h1_block9_551008_555762_F
s02_h2_block9_384579_389384_F,100.0,87.13,98.06,86.41
s02_h2_block9_571446_576220_F,87.13,100.0,86.84,98.79
s02_h1_block9_362729_367499_F,98.06,86.84,100.0,86.23
s02_h1_block9_551008_555762_F,86.41,98.79,86.23,100.0
