,s02-h2_block1_11103_14584_F,s02-h2_block1_202352_205442_F,s02-h2_block1_329100_332133_F,s02-h2_block1_353703_356725_F,s02-h2_block1_377192_380153_F,s02-h2_block1_583363_586584_F,s03-h1_block1_11397_14848_F,s03-h1_block1_178321_181376_F,s03-h1_block1_398623_401633_F,s03-h1_block1_423182_426216_F,s03-h1_block1_447307_450501_F,s03-h1_block1_457750_460964_F,s03-h1_block1_481791_484792_F,s03-h1_block1_505876_509070_F,s03-h1_block1_529729_532724_F,s03-h1_block1_553669_556787_F,s03-h2_block1_11105_13194_F,s03-h2_block1_177184_181580_F,s03-h2_block1_186228_188622_F,s03-h2_block1_188624_190562_F,s03-h2_block1_195311_197624_F,s03-h2_block1_197626_199663_F,s03-h2_block1_206958_208803_F,s03-h2_block1_427214_429013_F,s03-h2_block1_451741_453581_F,s03-h2_block1_475892_479072_F,s03-h2_block1_486334_489519_F,s03-h2_block1_496777_498763_F,s03-h2_block1_520620_523809_F,s03-h2_block1_531067_533044_F,s03-h2_block1_554909_556895_F,s03-h2_block1_578861_580726_F,s03-h2_block1_603008_604967_F,s03-h2_block1_626951_630070_F,s01-h1_block1_11396_13486_F,s01-h1_block1_177894_182290_F,s01-h1_block1_186938_189332_F,s01-h1_block1_189334_191272_F,s01-h1_block1_196021_198334_F,s01-h1_block1_198336_200373_F,s01-h1_block1_207668_209513_F,s01-h1_block1_427924_429723_F,s01-h1_block1_452451_454291_F,s01-h1_block1_476602_479782_F,s01-h1_block1_487044_490229_F,s01-h1_block1_497487_499473_F,s01-h1_block1_521330_524519_F,s01-h1_block1_531777_533754_F,s01-h1_block1_555619_557605_F,s01-h1_block1_579571_581436_F,s01-h1_block1_603718_605677_F,s01-h1_block1_627661_630780_F,s04-h1_block1_11396_13430_F,s04-h1_block1_175937_180333_F,s04-h1_block1_184981_187375_F,s04-h1_block1_187377_189408_F,s04-h1_block1_196708_198548_F,s04-h1_block1_416547_418340_F,s04-h1_block1_440506_443673_F,s04-h1_block1_447923_449861_F,s04-h1_block1_472119_474103_F,s04-h1_block1_496160_499186_F,s04-h2_block1_11397_14886_F,s04-h2_block1_187530_190592_F,s04-h2_block1_407658_410689_F,s04-h2_block1_432199_435237_F,s04-h2_block1_456308_459498_F,s04-h2_block1_466940_469961_F,s04-h2_block1_490875_493725_F,s04-h2_block1_514854_517875_F,s04-h2_block1_525291_528507_F,s04-h2_block1_549142_552064_F,s04-h2_block1_573096_576215_F,s02-h1_block1_10875_16150_F,s02-h1_block1_204595_209382_F,s02-h1_block1_331337_336051_F,s02-h1_block7_355338_359613_F,s02-h1_block7_562906_567558_F,s01-h2_block1_11399_13484_F,s01-h2_block1_177486_181882_F,s01-h2_block1_186530_188887_F,s01-h2_block1_188926_190864_F,s01-h2_block1_195613_197889_F,s01-h2_block1_197928_199965_F,s01-h2_block1_204659_207020_F,s01-h2_block1_207261_209105_F,s01-h2_block1_231975_233784_F,s01-h2_block1_256093_259273_F,s01-h2_block1_266535_269720_F,s01-h2_block1_276978_278954_F,s01-h2_block1_300821_304010_F,s01-h2_block1_311268_313235_F,s01-h2_block1_335110_337086_F,s01-h2_block1_358960_360929_F,s01-h2_block1_382901_386019_F
s02-h2_block1_11103_14584_F,100.0,81.73,80.29,84.76,76.49,77.2,99.42,81.72,80.61,85.07,86.61,86.95,84.67,86.63,84.43,73.67,82.6,37.68,26.95,67.78,27.96,68.32,69.07,69.42,73.18,86.41,86.59,74.66,86.46,74.59,74.58,73.56,74.29,73.52,82.61,37.68,26.95,67.78,27.96,68.32,69.07,69.42,73.18,86.41,86.59,74.66,86.46,74.59,74.58,73.56,74.29,73.52,81.88,37.64,26.95,68.39,69.14,69.51,86.43,74.27,74.51,74.56,99.6,81.44,80.32,85.17,86.64,85.06,83.1,84.72,86.99,83.59,73.56,77.66,61.13,59.64,60.15,61.37,82.55,37.68,27.41,67.78,28.42,68.32,27.36,69.09,72.83,86.41,86.59,74.56,86.46,74.49,74.48,74.51,73.56
s02-h2_block1_202352_205442_F,81.73,100.0,93.55,84.6,81.77,82.16,82.1,98.93,93.93,85.57,87.16,87.25,85.17,87.07,84.89,79.65,69.09,40.57,31.81,70.8,32.82,70.14,84.25,81.81,73.77,86.99,86.99,75.03,87.1,74.98,75.09,74.0,74.9,79.65,69.11,40.57,31.81,70.8,32.82,70.14,84.25,81.81,73.77,86.99,86.99,75.03,87.1,74.98,75.09,74.0,74.9,79.65,68.96,40.53,31.81,70.22,84.33,81.9,86.95,74.69,75.07,80.68,81.63,99.43,93.65,85.66,87.13,85.36,83.37,85.3,87.27,84.38,79.6,59.98,78.87,72.79,65.49,65.83,69.09,40.57,32.27,70.8,33.28,70.14,32.22,84.26,73.42,86.99,86.99,74.95,87.1,74.9,75.02,74.92,79.64
s02-h2_block1_329100_332133_F,80.29,93.55,100.0,83.16,80.31,80.1,80.2,93.01,99.47,83.6,85.03,85.22,83.22,85.02,83.06,77.59,67.0,37.78,32.52,68.0,33.52,67.35,79.42,84.36,71.61,84.89,84.97,72.87,84.97,72.8,72.85,72.02,72.78,77.53,67.02,37.78,32.52,68.0,33.52,67.35,79.42,84.36,71.61,84.89,84.97,72.87,84.97,72.8,72.85,72.02,72.78,77.53,66.89,37.78,32.52,67.42,79.44,84.45,84.82,72.72,72.98,78.56,80.47,93.35,99.75,83.68,85.03,83.32,81.62,83.16,85.3,82.26,77.51,60.39,74.99,78.32,65.25,65.67,66.97,37.78,32.98,68.0,33.98,67.35,32.93,79.43,71.25,84.89,84.97,72.78,84.97,72.72,72.78,72.96,77.54
s02-h2_block1_353703_356725_F,84.76,84.6,83.16,100.0,79.68,80.39,84.67,84.55,83.51,97.36,95.43,95.74,97.75,95.36,93.29,77.1,71.08,39.14,32.65,69.17,33.66,69.65,72.13,72.23,82.13,95.21,95.34,80.82,95.33,80.93,80.75,81.94,80.66,76.92,71.09,39.14,32.65,69.17,33.66,69.65,72.13,72.23,82.13,95.21,95.34,80.82,95.33,80.93,80.75,81.94,80.66,76.92,70.55,39.12,32.65,69.72,72.19,72.32,95.55,81.29,80.63,77.95,84.59,84.29,83.22,97.28,95.46,98.15,96.81,93.3,95.7,92.22,76.94,62.46,64.03,62.51,63.7,64.62,71.06,39.14,33.11,69.17,34.12,69.65,33.06,72.14,82.56,95.21,95.34,80.7,95.33,80.81,80.62,80.7,76.95
s02-h2_block1_377192_380153_F,76.49,81.77,80.31,79.68,100.0,88.68,76.35,81.54,80.56,80.15,82.15,82.29,79.76,82.06,80.89,96.23,68.88,42.65,33.41,73.44,34.42,72.21,73.41,73.13,72.39,81.99,82.1,73.97,82.09,73.86,73.92,72.69,73.8,96.15,68.89,42.65,33.41,73.44,34.42,72.21,73.41,73.13,72.39,81.99,82.1,73.97,82.09,73.86,73.92,72.69,73.8,96.15,68.97,42.59,33.41,72.28,73.39,73.11,81.81,73.51,73.98,97.15,76.3,81.54,80.31,80.3,82.1,79.96,78.48,81.13,82.34,80.27,96.15,55.97,62.62,61.01,82.68,72.93,68.85,42.65,33.87,73.44,34.88,72.21,33.82,73.41,72.0,81.99,82.1,73.95,82.09,73.83,73.88,73.92,96.18
s02-h2_block1_583363_586584_F,77.2,82.16,80.1,80.39,88.68,100.0,77.61,82.42,80.36,81.67,83.67,83.39,81.29,83.62,83.05,87.1,69.88,41.14,30.18,71.57,31.19,71.71,74.82,74.52,74.42,83.83,83.78,76.07,83.58,75.96,76.07,74.73,75.72,87.0,69.88,41.14,30.18,71.57,31.19,71.71,74.82,74.52,74.42,83.83,83.78,76.07,83.58,75.96,76.07,74.73,75.72,87.0,69.93,41.14,30.18,71.78,74.8,74.49,83.51,75.48,75.9,88.15,77.14,82.45,80.11,81.75,83.6,81.24,80.77,83.44,83.44,82.55,87.01,56.81,62.65,60.87,72.54,82.21,69.87,41.14,30.64,71.57,31.65,71.71,30.59,74.82,74.06,83.83,83.78,76.05,83.58,75.94,76.03,75.86,87.04
s03-h1_block1_11397_14848_F,99.42,82.1,80.2,84.67,76.35,77.61,100.0,82.09,80.52,85.39,86.94,87.28,85.0,86.94,84.72,74.0,83.01,38.02,27.32,68.13,28.33,68.66,69.42,69.79,73.46,86.74,86.94,74.97,86.79,74.9,74.87,73.85,74.58,73.87,83.0,38.02,27.32,68.13,28.33,68.66,69.42,69.79,73.46,86.74,86.94,74.97,86.79,74.9,74.87,73.85,74.58,73.87,82.39,38.0,27.32,68.74,69.48,69.88,86.75,74.56,74.79,74.9,99.53,81.81,80.24,85.49,86.96,85.38,83.41,85.03,87.32,83.89,73.91,77.13,60.98,59.54,59.98,61.32,82.96,38.02,27.78,68.13,28.79,68.66,27.73,69.43,73.13,86.74,86.94,74.87,86.79,74.8,74.77,74.79,73.91
s03-h1_block1_178321_181376_F,81.72,98.93,93.01,84.55,81.54,82.42,82.09,100.0,93.35,85.99,87.59,87.38,85.59,87.45,85.31,79.84,69.57,40.91,32.24,71.14,33.25,70.48,84.05,81.73,74.2,87.41,87.48,75.56,87.51,75.51,75.46,74.47,75.34,79.76,69.6,40.91,32.24,71.14,33.25,70.48,84.05,81.73,74.2,87.41,87.48,75.56,87.51,75.51,75.46,74.47,75.34,79.76,69.45,40.99,32.24,70.55,84.13,81.81,87.38,75.19,75.5,80.91,81.62,99.3,93.06,86.05,87.57,85.51,83.77,85.67,87.41,84.8,79.74,59.59,77.82,72.26,65.28,65.64,69.57,40.91,32.7,71.14,33.71,70.48,32.65,84.06,73.85,87.41,87.48,75.49,87.51,75.44,75.39,75.38,79.78
s03-h1_block1_398623_401633_F,80.61,93.93,99.47,83.51,80.56,80.36,80.52,93.35,100.0,84.0,85.43,85.57,83.62,85.42,83.39,77.9,67.25,38.01,32.8,68.24,33.81,67.58,79.7,84.79,71.9,85.28,85.32,73.11,85.37,73.05,73.15,72.26,73.09,77.81,67.27,38.01,32.8,68.24,33.81,67.58,79.7,84.79,71.9,85.28,85.32,73.11,85.37,73.05,73.15,72.26,73.09,77.81,67.13,38.01,32.8,67.66,79.73,84.87,85.22,72.96,73.28,78.84,80.8,93.71,99.69,84.05,85.41,83.64,81.94,83.53,85.64,82.57,77.8,60.14,74.78,78.06,65.13,65.49,67.22,38.01,33.26,68.24,34.27,67.58,33.21,79.71,71.54,85.28,85.32,73.04,85.37,72.98,73.09,73.2,77.82
s03-h1_block1_423182_426216_F,85.07,85.57,83.6,97.36,80.15,81.67,85.39,85.99,84.0,100.0,96.88,96.83,99.58,97.03,94.98,78.37,72.38,40.5,32.5,70.53,33.51,71.05,73.67,73.82,84.31,96.68,96.92,82.13,96.84,82.24,82.18,83.57,82.93,78.14,72.39,40.5,32.5,70.53,33.51,71.05,73.67,73.82,84.31,96.68,96.92,82.13,96.84,82.24,82.18,83.57,82.93,78.14,71.88,40.44,32.5,71.12,73.74,73.91,97.08,83.0,82.92,79.29,84.92,85.84,83.72,99.71,96.92,98.38,97.0,94.92,96.71,93.95,78.16,62.77,64.46,62.97,63.73,64.85,72.37,40.5,32.96,70.53,33.97,71.05,32.91,73.69,84.67,96.68,96.92,82.01,96.84,82.13,82.05,82.31,78.17
