,s04-h1_block2_16631_19943_F,s04-h1_block2_165422_168667_F,s04-h1_block2_201366_204480_F,s04-h1_block2_421279_424187_F,s04-h1_block2_452807_455696_F,s04-h1_block2_476945_479833_F,s03-h1_block2_16631_19521_F,s03-h1_block2_165050_167910_F,s03-h1_block2_182994_185666_F,s03-h1_block2_403235_405878_F,s03-h1_block2_428045_430513_F,s03-h1_block2_462569_465330_F,s03-h1_block2_486649_489092_F,s03-h1_block2_510690_513394_F,s03-h1_block2_534540_537060_F,s03-h2_block2_16442_19230_F,s03-h2_block2_166668_169532_F,s03-h2_block2_211646_214137_F,s03-h2_block2_431830_434264_F,s03-h2_block2_456612_458955_F,s03-h2_block2_501596_504347_F,s03-h2_block2_535877_538637_F,s03-h2_block2_559724_562488_F,s03-h2_block2_583731_586096_F,s03-h2_block2_607818_610341_F,s04-h2_block2_16632_19521_F,s04-h2_block2_165253_168116_F,s04-h2_block2_192187_194880_F,s04-h2_block2_412271_414914_F,s04-h2_block2_437062_439534_F,s04-h2_block2_471568_474327_F,s04-h2_block2_495715_498080_F,s04-h2_block2_530115_532652_F,s04-h2_block2_553965_556420_F,s01-h1_block2_16736_19525_F,s01-h1_block2_167378_170242_F,s01-h1_block2_212356_214847_F,s01-h1_block2_432540_434974_F,s01-h1_block2_457322_459665_F,s01-h1_block2_502306_505057_F,s01-h1_block2_536587_539347_F,s01-h1_block2_560434_563198_F,s01-h1_block2_584441_586806_F,s01-h1_block2_608528_611051_F,s01-h2_block2_16736_19524_F,s01-h2_block2_166970_169834_F,s01-h2_block2_211942_214453_F,s01-h2_block2_236838_239156_F,s01-h2_block2_281797_284548_F,s01-h2_block2_316078_318838_F,s01-h2_block2_339925_342689_F,s01-h2_block2_363774_366297_F,s02-h1_block2_16152_19656_F,s02-h1_block2_179716_182964_F,s02-h1_block2_209384_212564_F,s02-h1_block2_336053_339185_F,s02-h2_block2_14586_19235_F,s02-h2_block2_205444_209711_F,s02-h2_block2_332135_336354_F,s02-h2_block2_356727_361056_F,s04-h1_block16_431228_436278_F,s04-h1_block16_462806_467865_F,s04-h1_block16_486826_491841_F
s04-h1_block2_16631_19943_F,100.0,78.64,82.77,84.99,83.95,81.55,93.17,75.4,79.81,81.67,81.04,80.02,80.63,79.09,76.53,91.31,75.43,77.41,78.8,79.48,79.86,80.0,79.97,79.11,76.55,93.2,75.48,79.36,81.71,81.14,80.05,79.48,76.88,75.75,91.15,75.43,77.41,78.8,79.48,79.86,80.0,79.97,79.11,76.55,91.31,75.43,77.2,79.14,79.86,80.0,79.97,76.58,96.54,78.53,81.71,83.03,64.74,54.09,56.49,54.66,37.61,35.64,29.05
s04-h1_block2_165422_168667_F,78.64,100.0,85.04,85.01,86.08,85.57,76.69,93.63,81.52,82.74,81.08,83.65,80.77,82.87,80.29,75.41,93.81,79.16,79.88,79.32,83.51,83.63,83.65,79.52,80.28,76.69,93.87,81.67,82.74,81.16,83.67,79.76,80.45,79.43,75.38,93.81,79.16,79.88,79.32,83.51,83.63,83.65,79.52,80.28,75.41,93.81,80.13,79.08,83.51,83.63,83.65,80.34,79.49,99.31,85.35,86.42,55.02,59.13,62.26,61.17,46.54,44.26,37.87
s04-h1_block2_201366_204480_F,82.77,85.04,100.0,90.0,89.22,88.99,80.16,81.11,92.77,86.31,83.75,87.41,83.33,86.63,84.11,78.53,81.35,89.94,83.65,82.07,87.23,87.38,87.35,82.35,84.13,80.15,81.39,93.14,86.27,83.71,87.36,82.34,84.42,83.41,78.48,81.35,89.94,83.65,82.07,87.23,87.38,87.35,82.35,84.13,78.53,81.35,84.82,81.7,87.23,87.38,87.35,84.16,84.88,84.95,98.56,93.28,57.22,67.69,64.23,62.26,43.93,41.83,35.58
s04-h1_block2_421279_424187_F,84.99,85.01,90.0,100.0,93.43,90.02,82.79,81.24,85.03,91.83,89.67,88.13,90.16,87.14,84.27,82.64,81.36,82.63,88.45,87.22,88.0,88.1,88.1,86.85,84.31,82.8,81.41,84.61,91.94,89.71,88.16,89.04,84.66,83.38,82.61,81.36,82.63,88.45,87.22,88.0,88.1,88.1,86.85,84.31,82.64,81.36,86.83,87.62,88.0,88.1,88.1,84.32,81.75,85.11,89.04,96.0,54.52,59.35,66.36,62.87,42.57,40.49,34.06
s04-h1_block2_452807_455696_F,83.95,86.08,89.22,93.43,100.0,96.24,84.56,84.66,88.56,93.62,92.88,93.87,92.45,92.8,90.45,82.95,84.71,86.18,90.4,90.98,93.7,93.81,93.81,91.46,90.37,84.55,84.77,88.16,93.63,92.95,93.89,91.36,90.29,89.54,82.9,84.71,86.18,90.4,90.98,93.7,93.81,93.81,91.46,90.37,82.95,84.71,88.85,90.61,93.7,93.81,93.81,90.5,82.99,85.87,88.18,93.7,58.52,62.84,68.47,68.69,46.15,44.06,37.56
s04-h1_block2_476945_479833_F,81.55,85.57,88.99,90.02,96.24,100.0,84.61,86.98,90.85,93.67,93.09,97.22,92.67,96.18,93.78,83.04,87.03,88.5,90.43,91.11,97.04,97.15,97.18,91.39,94.05,84.59,87.09,91.17,93.68,93.09,97.14,91.3,93.68,92.87,82.99,87.03,88.5,90.43,91.11,97.04,97.15,97.18,91.39,94.05,83.04,87.03,91.52,90.71,97.04,97.15,97.18,93.82,83.71,85.31,87.99,93.3,61.69,65.91,71.56,72.0,48.7,46.6,40.11
s03-h1_block2_16631_19521_F,93.17,76.69,80.16,82.79,84.56,84.61,100.0,82.15,86.58,88.43,87.78,86.79,87.36,85.86,83.3,98.05,82.18,84.18,85.57,86.24,86.63,86.77,86.74,85.87,83.31,99.97,82.23,86.13,88.48,87.87,86.82,86.21,83.65,82.51,97.86,82.18,84.18,85.57,86.24,86.63,86.77,86.74,85.87,83.31,98.05,82.18,83.97,85.87,86.63,86.77,86.74,83.35,89.81,76.5,79.11,80.84,71.51,60.85,63.25,61.43,41.02,40.52,35.8
s03-h1_block2_165050_167910_F,75.4,93.63,81.11,81.24,84.66,86.98,82.15,100.0,87.07,88.29,86.59,89.07,86.29,88.39,85.81,80.87,99.34,84.64,85.36,84.83,89.09,89.09,89.07,85.04,85.79,82.15,99.31,87.22,88.26,86.67,89.09,85.28,85.97,84.95,80.84,99.34,84.64,85.36,84.83,89.09,89.09,89.07,85.04,85.79,80.87,99.34,85.62,84.59,89.09,89.09,89.07,85.86,76.24,93.03,81.41,82.64,60.55,64.76,67.86,66.68,48.57,47.9,43.42
s03-h1_block2_182994_185666_F,79.81,81.52,92.77,85.03,88.56,90.85,86.58,87.07,100.0,92.9,90.88,93.04,90.48,93.01,90.48,84.93,87.52,97.06,90.77,89.19,93.19,93.04,92.98,89.47,90.5,86.56,87.57,99.5,92.82,90.85,93.06,89.46,90.82,89.76,84.88,87.52,97.06,90.77,89.19,93.19,93.04,92.98,89.47,90.5,84.93,87.52,91.51,88.82,93.19,93.04,92.98,90.53,81.24,81.3,91.54,87.46,62.92,74.02,69.97,67.89,46.46,45.86,42.12
s03-h1_block2_403235_405878_F,81.67,82.74,86.31,91.83,93.62,93.67,88.43,88.29,92.9,100.0,94.86,95.79,94.48,94.98,92.11,86.71,88.43,90.51,96.56,92.99,95.84,95.79,95.76,93.33,92.13,88.42,88.48,92.5,99.86,94.96,95.81,93.3,92.5,91.22,86.67,88.43,90.51,96.56,92.99,95.84,95.79,95.76,93.33,92.13,86.71,88.43,94.94,92.61,95.84,95.79,95.76,92.16,80.61,82.72,85.33,91.79,62.29,67.24,74.4,70.56,46.33,45.77,41.29
