,s03-h2_block19_685462_691025_F,s03-h2_block19_696301_701806_F,s03-h1_block15_611415_616979_F,s03-h1_block15_622332_627806_F,s03-h1_block15_633125_638607_F,s01-h2_block11_441411_446974_F,s01-h2_block11_452250_457755_F,s04-h2_block18_630611_636178_F,s04-h2_block18_641524_647005_F,s04-h2_block18_652317_657805_F,s01-h1_block19_685656_691219_F,s01-h1_block19_696495_702000_F
s03-h2_block19_685462_691025_F,100.0,96.03,99.8,98.21,95.69,100.0,96.03,99.7,98.3,95.82,100.0,96.03
s03-h2_block19_696301_701806_F,96.03,100.0,96.01,96.03,99.43,96.03,100.0,96.09,96.09,99.43,96.03,100.0
s03-h1_block15_611415_616979_F,99.8,96.01,100.0,98.19,95.71,99.8,96.01,99.89,98.32,95.84,99.8,96.01
s03-h1_block15_622332_627806_F,98.21,96.03,98.19,100.0,95.73,98.21,96.03,98.09,99.73,95.85,98.21,96.03
s03-h1_block15_633125_638607_F,95.69,99.43,95.71,95.73,100.0,95.69,99.43,95.78,95.82,99.71,95.69,99.43
s01-h2_block11_441411_446974_F,100.0,96.03,99.8,98.21,95.69,100.0,96.03,99.7,98.3,95.82,100.0,96.03
s01-h2_block11_452250_457755_F,96.03,100.0,96.01,96.03,99.43,96.03,100.0,96.09,96.09,99.43,96.03,100.0
s04-h2_block18_630611_636178_F,99.7,96.09,99.89,98.09,95.78,99.7,96.09,100.0,98.25,95.87,99.7,96.09
s04-h2_block18_641524_647005_F,98.3,96.09,98.32,99.73,95.82,98.3,96.09,98.25,100.0,95.98,98.3,96.09
s04-h2_block18_652317_657805_F,95.82,99.43,95.84,95.85,99.71,95.82,99.43,95.87,95.98,100.0,95.82,99.43
s01-h1_block19_685656_691219_F,100.0,96.03,99.8,98.21,95.69,100.0,96.03,99.7,98.3,95.82,100.0,96.03
s01-h1_block19_696495_702000_F,96.03,100.0,96.01,96.03,99.43,96.03,100.0,96.09,96.09,99.43,96.03,100.0
