,s16-h2_block21_510725_514752_F,s16-h2_block21_604112_608156_F,s09-h2_block2_62503_71635_F,s09-h2_block2_316171_325846_F,s12-h1_block14_422620_431476_F,s12-h1_block14_515896_524814_F,s17-h2_block10_321211_328497_F,s17-h2_block10_414563_421818_F,s16-h2_block7_211084_220213_F,s16-h2_block7_500988_510665_F,s16-h2_block7_594333_604052_F,s15-h2_block2_37244_44640_F,s15-h2_block2_561080_568844_F,s04-h2_block5_114063_123192_F,s04-h2_block5_417854_427642_F,s03-h1_block8_312321_321998_F,s03-h1_block8_578870_587999_F,s07-h2_block6_150969_159887_F,s07-h2_block6_244309_253165_F,s11-h1_block6_195070_204115_F,s11-h1_block6_573901_583475_F,s18-h1_block10_311568_321238_F,s18-h1_block10_627921_637060_F,s17-h2_block8_307373_311415_F,s17-h2_block8_400786_404810_F,s01-h1_block13_318432_326199_F,s01-h1_block13_865798_873198_F,s16-h2_block20_493707_500972_F,s16-h2_block20_587021_594317_F,s12-h1_block7_223041_232170_F,s12-h1_block7_502140_511807_F,s17-h2_block9_311477_321190_F,s17-h2_block9_404872_414543_F,s17-h2_block9_696328_705453_F,s07-h2_block7_164069_173643_F,s07-h2_block7_447661_456706_F,s19-h2_block9_313123_322798_F,s19-h2_block9_569132_578261_F,s08-h2_block7_219297_228429_F,s08-h2_block7_498541_508335_F,s14-h2_block13_317722_325489_F,s14-h2_block13_865021_872422_F,s17-h1_block7_246638_255777_F,s17-h1_block7_562458_572128_F,s15-h1_block2_149818_157218_F,s15-h1_block2_569179_576946_F,s10-h2_block7_220162_229292_F,s10-h2_block7_499642_509310_F
s16-h2_block21_510725_514752_F,100.0,99.06,30.6,27.06,26.73,26.11,37.57,37.75,30.55,27.05,28.13,45.79,45.21,30.6,27.53,20.83,25.76,23.64,24.13,31.35,27.95,20.86,25.73,58.8,58.96,30.43,32.98,37.51,37.29,30.61,27.13,21.52,20.88,25.79,21.7,26.46,20.84,25.72,30.51,27.5,30.43,32.99,30.61,27.1,45.81,45.2,30.6,27.11
s16-h2_block21_604112_608156_F,99.06,100.0,30.56,27.06,26.9,26.18,37.61,37.79,30.52,27.04,28.09,45.75,45.18,30.56,27.49,20.88,25.8,23.75,24.23,31.31,27.93,20.9,25.79,58.65,58.81,29.84,32.41,37.19,36.97,30.58,27.11,21.56,20.92,25.84,21.74,26.52,20.89,25.78,30.46,27.46,29.84,32.41,30.58,27.08,45.77,45.17,30.57,27.1
s09-h2_block2_62503_71635_F,30.6,30.56,100.0,80.64,28.14,28.02,24.72,24.74,99.55,80.68,79.82,80.69,70.5,99.9,80.36,34.69,32.41,27.9,27.57,99.19,79.85,34.79,32.5,26.06,26.0,30.67,29.23,25.41,25.44,99.88,80.63,35.39,34.81,32.42,35.4,33.09,34.77,32.45,99.35,80.34,30.67,29.22,99.69,80.66,80.7,70.46,99.87,80.63
s09-h2_block2_316171_325846_F,27.06,27.06,80.64,100.0,28.18,28.13,24.43,24.52,80.7,99.72,97.8,67.45,80.39,80.63,98.49,35.1,33.02,27.95,27.65,79.9,98.88,35.16,33.11,20.86,20.69,30.53,29.33,25.02,25.02,80.59,99.69,35.58,35.13,33.05,35.71,33.72,35.14,33.07,80.57,98.42,30.53,29.32,80.66,99.83,67.48,80.37,80.58,99.66
s12-h1_block14_422620_431476_F,26.73,26.9,28.14,28.18,100.0,95.44,44.73,44.63,28.09,28.17,28.58,28.88,28.37,28.16,28.09,30.35,29.16,41.01,41.03,28.93,28.93,30.39,29.24,26.38,26.84,28.12,27.07,40.48,40.55,28.16,28.11,31.05,30.4,29.16,30.69,29.53,30.39,29.14,28.11,28.1,28.12,27.08,28.16,28.17,28.89,28.33,28.15,28.1
s12-h1_block14_515896_524814_F,26.11,26.18,28.02,28.13,95.44,100.0,43.86,43.76,27.97,28.12,28.54,28.67,28.26,28.02,28.05,30.35,29.17,40.8,40.81,28.82,28.89,30.39,29.25,26.06,26.52,27.7,26.57,40.17,40.26,28.04,28.08,31.04,30.42,29.16,30.67,29.52,30.39,29.15,28.0,28.06,27.7,26.58,28.04,28.12,28.68,28.22,28.03,28.06
s17-h2_block10_321211_328497_F,37.57,37.61,24.72,24.43,44.73,43.86,100.0,99.18,24.71,24.4,24.96,37.75,37.46,24.68,24.36,26.05,26.62,35.65,36.11,25.49,25.2,26.1,26.66,31.3,31.79,25.05,25.39,48.46,48.46,24.67,24.39,27.12,26.17,26.62,26.77,27.36,26.12,26.63,24.66,24.32,25.05,25.44,24.7,24.46,37.75,37.44,24.67,24.38
s17-h2_block10_414563_421818_F,37.75,37.79,24.74,24.52,44.63,43.76,99.18,100.0,24.74,24.49,25.05,37.79,37.52,24.71,24.42,25.91,26.47,35.62,36.08,25.51,25.29,25.96,26.5,31.37,31.82,25.13,25.52,48.58,48.59,24.7,24.47,26.97,26.02,26.46,26.77,27.26,25.98,26.48,24.68,24.39,25.13,25.58,24.73,24.55,37.79,37.51,24.7,24.46
s16-h2_block7_211084_220213_F,30.55,30.52,99.55,80.7,28.09,27.97,24.71,24.74,100.0,80.72,79.87,80.6,70.56,99.53,80.43,34.6,32.33,27.88,27.53,98.78,79.9,34.7,32.41,26.02,25.97,30.6,29.18,25.39,25.43,99.5,80.69,35.32,34.72,32.34,35.31,33.0,34.68,32.36,99.43,80.4,30.6,29.17,99.53,80.72,80.62,70.52,99.49,80.69
s16-h2_block7_500988_510665_F,27.05,27.04,80.68,99.72,28.17,28.12,24.4,24.49,80.72,100.0,97.77,67.46,80.48,80.66,98.36,35.08,33.04,27.92,27.63,79.94,98.85,35.14,33.12,20.84,20.68,30.51,29.34,25.02,25.02,80.63,99.66,35.55,35.11,33.07,35.69,33.74,35.13,33.09,80.59,98.52,30.51,29.34,80.68,99.73,67.5,80.46,80.62,99.62
