,s01_h1_block20_1011311_1017140_F,s01_h1_block20_1021091_1026710_F,s01_h1_block20_1029964_1036046_F,s01_h1_block20_1040048_1045068_F,s01_h1_block20_1049153_1054777_F,s01_h1_block20_1058737_1063950_F,s01_h1_block20_1067532_1073634_F,s01_h1_block20_1077031_1083203_F,s01_h2_block12_766661_772482_F,s01_h2_block12_776438_782187_F,s01_h2_block12_786172_791525_F,s01_h2_block12_795180_800611_F,s01_h2_block12_804091_809990_F,s01_h2_block12_813712_819820_F,s02_h2_block10_662424_664384_F,s02_h2_block10_671895_673763_F,s02_h2_block10_719169_721258_F,s02_h1_block10_641944_649440_F,s02_h1_block10_651706_659059_F,s02_h1_block10_661235_668288_F,s02_h1_block10_670490_677670_F,s02_h1_block10_679858_687061_F,s02_h2_block12_667200_669848_F,s02_h2_block12_677208_679592_F,s02_h2_block12_686415_688831_F,s02_h2_block12_695745_698153_F,s02_h2_block12_705183_707404_F,s02_h2_block12_714494_717250_F,s02_h2_block11_664387_667141_F,s02_h2_block11_673765_677142_F,s02_h2_block11_682927_686148_F,s02_h2_block11_692578_695467_F,s02_h2_block11_701489_704917_F,s02_h2_block11_711110_714327_F
s01_h1_block20_1011311_1017140_F,100.0,87.18,83.78,76.13,88.12,82.1,84.48,85.85,99.1,86.85,79.46,85.12,84.98,87.06,19.17,12.19,9.67,75.5,69.42,64.57,69.25,71.9,60.76,52.92,51.25,56.01,55.13,55.81,62.67,66.67,58.17,62.48,60.8,63.15
s01_h1_block20_1021091_1026710_F,87.18,100.0,84.54,79.27,88.66,91.75,84.06,83.8,87.17,87.72,82.76,97.03,86.31,85.04,20.93,14.54,12.02,67.89,70.1,67.79,81.09,71.48,57.39,53.06,53.59,63.13,56.44,55.72,62.64,69.61,61.12,67.84,62.79,65.02
s01_h1_block20_1029964_1036046_F,83.78,84.54,100.0,70.02,92.77,78.85,89.15,87.38,83.67,94.9,73.62,82.4,88.81,86.56,22.81,16.87,13.8,73.91,83.61,66.26,73.99,78.41,56.28,55.04,47.2,54.23,52.69,56.36,55.87,68.28,61.3,61.04,64.14,60.78
s01_h1_block20_1040048_1045068_F,76.13,79.27,70.02,100.0,75.54,86.95,70.82,72.76,76.02,73.88,95.62,81.71,73.21,73.91,21.18,21.37,18.85,55.93,55.7,76.47,61.42,58.24,50.56,45.28,64.51,54.02,48.49,48.51,69.91,69.85,64.75,65.66,64.28,66.03
s01_h1_block20_1049153_1054777_F,88.12,88.66,92.77,75.54,100.0,84.21,86.64,86.52,88.09,96.3,78.99,86.66,86.48,87.37,19.88,14.48,11.96,69.87,79.64,62.9,70.62,74.03,61.55,59.74,52.62,59.53,57.71,60.18,61.13,72.38,59.97,64.73,61.85,62.48
s01_h1_block20_1058737_1063950_F,82.1,91.75,78.85,86.95,84.21,100.0,79.34,78.98,82.11,82.68,85.1,94.41,81.63,80.17,22.12,19.17,16.65,62.95,64.46,69.36,73.83,66.64,55.83,51.5,55.08,62.67,54.82,54.1,67.35,70.18,65.61,66.84,64.18,66.31
s01_h1_block20_1067532_1073634_F,84.48,84.06,89.15,70.82,86.64,79.34,100.0,88.89,84.34,87.41,74.39,82.04,96.25,88.06,20.31,14.68,11.83,74.05,76.47,64.56,71.81,85.63,56.34,53.89,46.71,54.0,55.37,56.46,56.91,64.0,59.98,59.51,68.0,61.92
s01_h1_block20_1077031_1083203_F,85.85,83.8,87.38,72.76,86.52,78.98,88.89,100.0,85.71,87.07,76.15,81.72,86.27,98.4,18.43,12.24,9.71,73.26,74.52,65.13,69.93,75.57,55.22,53.66,47.77,52.96,51.44,59.96,56.65,63.12,58.02,58.53,61.6,65.55
s01_h2_block12_766661_772482_F,99.1,87.17,83.67,76.02,88.09,82.11,84.34,85.71,100.0,86.82,79.33,85.13,84.89,86.95,19.17,12.23,9.71,75.32,69.29,64.4,69.15,71.74,60.79,53.01,51.24,56.08,55.19,55.85,62.64,66.62,58.11,62.41,60.74,63.07
s01_h2_block12_776438_782187_F,86.85,87.72,94.9,73.88,96.3,82.68,87.41,87.07,86.82,100.0,77.47,85.76,85.34,87.94,18.85,13.05,10.53,70.65,79.41,62.08,69.75,74.79,60.08,59.5,51.0,58.03,56.49,60.76,59.76,71.05,59.35,63.96,60.54,61.45
